nom,date,national_coordination_fr
DRC,25-06-2026,"Supervision des équipes terrain et des structures de prise en charge des patients. Tenue de la réunion de coordination et appui aux piliers de la réponse."
DRC,27-06-2026,"Poursuite de la tenue des réunions de coordination à différents niveaux. Supervision des activités des piliers de la réponse."
DRC,30-06-2026,"Poursuite de la supervision des équipes de terrain de la riposte."
DRC,01-07-2026,"Réunion de coordination nationale menée par le DG de l'INSP à Nizi et Nyankunde; nouveau site de CTE identifié à Bunia."
DRC,02-07-2026,"Tenue de la réunion de coordination présidée par le DG de l'INSP avec l'équipe de la riposte et les partenaires techniques et financiers sur les activités du terrain. Visite officielle du président Sud-Africain à Kinshasa pour soutenir la lutte contre l'épidémie et renforcer la coopération entre la RDC et l'Afrique du Sud."
DRC,03-07-2026,"Tenue de la réunion de coordination avec l'équipe de la riposte et les partenaires techniques et financiers sur les activités du terrain. Briefing des superviseurs provinciaux sur les généralités de la MVE dans la zone de santé de Bunia."
DRC,04-07-2026,"Tenue de la réunion de coordination avec l'équipe de la riposte et les partenaires techniques et financiers sur les activités du terrain. Niveau national : réunion de coordination avec ordre du jour à 100%, points d'action exécutés à 80%. Niveau provincial : réunion avec ordre du jour à 100% pour Ituri et Nord-Kivu."
DRC,05-07-2026,"Tenue de la réunion de coordination nationale avec les partenaires; 80% des points d'action des réunions quotidiennes exécutés."
DRC,06-07-2026,"Tenue de la réunion de coordination nationale avec les partenaires; 100% d'adherence à l'ordre du jour et 80% des points d'action exécutés."
DRC,07-07-2026,"Tenue de la réunion de coordination avec l'équipe de la riposte et les partenaires techniques et financiers sur les activités du terrain. Niveau national : réunion avec ordre du jour à 100%, points d'action exécutés à 80%. Niveau provincial : réunion avec ordre du jour à 100% pour Ituri et Nord-Kivu."
DRC,08-07-2026,"Arrivée du Ministre de la Santé à Bunia (Ituri). Mission conjointe des IM nationaux et de l'OMS à Beni (Nord-Kivu)"
DRC,09-07-2026,"Réunion avec Son Excellence le Ministre de la Santé publique, accompagné du Secrétaire général à la Santé, des autorités provinciales, des membres de la coordination nationale et des partenaires techniques et financiers. Échanges sur l'évolution de la riposte et la situation des provinces de la Tshopo et du Haut-Uélé. Engagement des autorités locales et provinciales de Bunia à accompagner les équipes de riposte."
DRC,11-07-2026,"Tenue de réunion de coordination avec les partenaires techniques et financiers. Poursuite des activités des supervisions de la riposte sur terrain."
DRC,13-07-2026,"Tenue de réunions de coordination. Élaboration d'une feuille de route sur 3 mois pour le Haut-Uélé. Mission conjointe sur le site de traitement d'Isiro. Recrutement du personnel local avec des ordres médicaux."
DRC,15-07-2026,"Tenue de la réunion de coordination nationale; discussions sur les besoins opérationnels et l'approche zonale avec les médecins chefs de zone de santé."
DRC,17-07-2026,"Visite du Gouverneur militaire à Nizi pour remise des brevets; équipe nationale déployée en Tshopo, Haut-Uélé, Bas-Uélé."
DRC,18-07-2026,"Réunion de coordination tenue pour les activités de riposte dans les 5 provinces affectées."
DRC,19-07-2026,"Tenue de la réunion de coordination pour le suivi des activités de la réponse dans les 5 provinces affectées. Evaluation technique transfrontalière conjointe de la mise en place du laboratoire Mobile de Kasenyi par la RDC et l'Ouganda."
DRC,20-07-2026,"Tenue de réunions de coordination; installation du laboratoire de Logo; plan de réponse finalisé/validé en Tshopo."
DRC,22-07-2026,"Nouvel IM national arrivé à Bunia; Ministre reçu par Président ougandais; données harmonisées Ituri/Nord-Kivu/national."
DRC,23-07-2026,"Première Ministre en visite à Tshopo et Ituri; 10 véhicules donnés à l'Ituri; laboratoire lancé à Kasenyi (Tchomia)."
DRC,25-07-2026,"Réunion de coordination tenue avec partenaires; supervision des actions par pilier en cours; consolidation des rapports journaliers dans provinces affectées."
DRC,26-07-2026,"Réunion de coordination avec partenaires; suivi terrain à Rwampara et Mambasa; mission conjointe INSP/COUSP/OMS arrivée à Buta (Bas-Uélé) pour préparation."
DRC,27-07-2026,"Réunion de coordination avec partenaires; suivi terrain en cours; consolidation des rapports journaliers dans provinces affectées."
DRC,01-08-2026,"Réunion de coordination tenue; SGI Tshopo a émis 3 recommandations dont l'harmonisation des données et la lutte contre les messages négationnistes."
DRC,02-08-2026,"Atelier organisé pour la mise à jour du plan de réponse dans les 5 provinces affectées."
DRC,03-08-2026,"Atelier de mise à jour du plan de réponse; Nord-Kivu a produit le SitRep provincial #73; Haut-Uélé a tenu des réunions de coordination (2/2)."
DRC,04-08-2026,"Réunion de validation des données entre la surveillance et le laboratoire; appel actif aux zones de santé; visite sur le terrain à la cellule d'alerte de Rwampara."
