nom,date,infection_prevention_controle_en
Karisimbi,03-06-2026,"Average IPC score: 22.9% — critical level. IPC supply shortage reported (critical situation). Briefing of 5 providers at CM La Grâce (Grand Nord) and 44 providers at Karisimbi."
Miti-Murhesa,03-06-2026,"Scorecard evaluation of 19/35 health facilities in 8 health zones. Briefing of 80 people (56 community health workers, 24 U-REPORT volunteers) on standard precautions and PPE donning/doffing."
Katana,03-06-2026,"Major security incident: Croix-Rouge EDS team attacked, coffin abandoned, body handled by the community."
Nyankunde,04-06-2026,"Briefing of 16 health workers (CM la Divinité) and 9 care providers (CME Nyakunde Bunia) on handwashing, donning/doffing PPE, biocleaning and waste management (BCZ sanitation); briefing of 5 providers at PS Umoja (AS Lembabo) and 6 providers on biocleaning, PPE and waste management; 4 safe burials carried out on 4 alerts (HGR Bunia)."
Katwa,04-06-2026,"Alarming average IPC score of 22.9%; decontamination of the isolation room of the recovered patient at Heal Africa hospital (Goma HZ), 2 households and 5 health facilities in Katwa and Butembo HZ; 6 safe burials carried out (3 in Katwa, 3 in Beni); briefing of 56 care providers on standard precautions in Katwa HZ."
Miti-Murhesa,04-06-2026,"Scorecard assessment of 2/30 health facilities in Miti-Murhesa HZ (44% for CH Kachucha, 56% for CH Kavumu); provision of IPC supplies (100 handwashing kits — 40 to facilities, 60 to community; 40 decontamination kits in Miti-Murhesa and Katana HZ); briefing of 25 providers (nurses and doctors) on community and clinical IPC; decontamination of 2 facilities (private medical centre Sodeseka, Katana HZ) around the high-risk suspected case who died at HGR Katana."
Beni,05-06-2026,"Scorecard assessment in 5 health facilities in Katwa HZ: average IPC score 40%. Briefing of 28 providers on various IPC topics in assessed facilities. Briefing of 5 healthcare providers in Beni HZ. 1 SDB conducted in Katwa. Decontamination of 2 health facilities and 1 household in Katwa HZ. Revitalisation of IPC-WASH committees in five health facilities. Reorganisation of triage and isolation circuits in Butsili and Ngongolio health centres."
Miti-Murhesa,05-06-2026,"Scorecard assessment of 2 health facilities in Miti-Murhesa HZ (CH Lwiro: 42%, CS Kahungu: 35.5%) and development of improvement plans. Provision of IPC supplies: 100 handwashing kits (40 to health facilities, 60 distributed in the community), 40 decontamination kits deployed in Miti-Murhesa and Katana HZs."
Mongbwalu,06-06-2026,"6/15 safe burials carried out and briefing of 23 providers of 6 facilities on EVD generalities, biocleaning and standard precautions. Aru HZ: briefing of 10 providers on standard precautions, donning/doffing PPE, waste management; decontamination of a confirmed case's household; 3 safe burials on 5 alerts (2 postponed due to family resistance). Mongbwalu: 8 safe burials on 9 alerts, decontamination of 7 facilities and briefing of 33 providers on handwashing and waste management."
Miti-Murhesa,06-06-2026,"Support to the RIT for the Nyangezi investigation; scorecard assessment in two facilities of Miti-Murhesa HZ (Chaoboka 38%, CH Lwiro Centre 43%) and development of improvement plans; support to decontamination of the intensive-care unit at HGR Katana; distribution of IPC supplies (100 handwashing kits — 40 to facilities, 60 to community; 40 decontamination kits in Miti-Murhesa and Katana HZ)."
Bunia,09-06-2026,"Assessment of 5 health facilities (scores: 21-51.6%). IPC training for 50 providers. Ring opening at CS Bora Uzima. Briefing of 51 providers. Provision of handwashing kits to 154 TENASOSP/EXETAT centers."
Aru,09-06-2026,"Assessment of 4 health facilities (scores: 16.6-33.3%). Briefing of 25 ITs, 12 PPLs and 3 TSs."
Rwampara,09-06-2026,"Decontamination of HGR Rwampara."
Bambu,09-06-2026,"Briefing of 6 local Red Cross agents on SDB."
Kyondo,09-06-2026,"Scorecard at CS Katiri: 69.4%."
Katwa,09-06-2026,"Meeting of IPC partners for mapping and harmonization."
Butembo,09-06-2026,"Decontamination of 2 health facilities. Risk assessment of 8 providers (6 high-risk placed in quarantine)."
Komanda,11-06-2026,"Start of training for 36 surface technicians and 36 teachers on IPC/WASH. Briefing of 3 providers at CS Komanda on handwashing."
Nyankunde,11-06-2026,"Continuation of training (Day 2) on IPC and SDB."
Bambu,11-06-2026,"Briefing of 10 providers from 4 health facilities on handwashing, biocleaning, waste management, PPE. Briefing of 56 community leaders and ITs on EVD prevention."
Bunia,11-06-2026,"Decontamination of 2 health facilities (Clique Marie Claire, CH Rwankole) and 2 households (Bigo, Lembabo)."
Bunia,15-06-2026,"Briefing of 45 providers on general IPC, waste management and EVD generalities."
Mambasa,15-06-2026,"Briefing of 42 providers."
Rwampara,15-06-2026,"Briefing of 42 providers. Decontamination of 8 health facilities."
Komanda,15-06-2026,"Briefing of 42 providers. Decontamination of 8 health facilities."
Mongbwalu,15-06-2026,"Decontamination of 8 health facilities."
Rwampara,16-06-2026,"Two IPC briefings for providers in Ngona and Shari health areas. Provision of IPC kits."
Nyankunde,16-06-2026,"PCI ring opened around notified cases (2 households identified)."
Mongbwalu,16-06-2026,"PCI ring opened around notified cases (3 households identified)."
Mambasa,18-06-2026,"Briefing of 40 providers on standard precautions (handwashing, PPE donning/doffing, biocleaning)."
Mongbwalu,18-06-2026,"Briefing of 40 providers on standard precautions. Provision of 4 WASH kits."
Bunia,18-06-2026,"Briefing of 40 providers on standard precautions. Decontamination. Provision of 4 WASH kits."
Komanda,18-06-2026,"Briefing of 40 providers on standard precautions. Decontamination."
Bambu,19-06-2026,"Briefing of 114 providers on standard precautions (handwashing, PPE donning/doffing, biocleaning)."
Bunia,19-06-2026,"Briefing of 114 providers. 9 rings and 9 decontaminations around confirmed cases. 13/13 SDBs performed."
Komanda,19-06-2026,"Briefing of 114 providers. 3/3 SDBs performed."
Mambasa,19-06-2026,"Briefing of 114 providers."
Rwampara,19-06-2026,"Briefing of 114 providers. 4/5 SDBs performed."
Mongbwalu,19-06-2026,"8/8 SDBs performed."
Bunia,22-06-2026,"14/16 SDBs performed (2 postponed). Decontamination of 6 households and 2 health facilities. Start of training for 50 hygienists. Briefings for 60 providers."
Rwampara,22-06-2026,"Briefings for 60 providers."
Komanda,22-06-2026,"Briefings for 60 providers."
Nia-Nia,22-06-2026,"Briefings for 60 providers."
Mongbwalu,22-06-2026,"Decontamination of 1 health facility after suspect transfer. Provision of IPC/WASH kits."
Mambasa,22-06-2026,"Provision of IPC/WASH kits."
Bunia,23-06-2026,"25/29 SDBs performed (4 postponed). Decontamination of 10 households and 4 health facilities. Briefings for 85 providers."
Rwampara,23-06-2026,"Decontamination of 10 households and 4 health facilities. Briefings for 85 providers."
Komanda,23-06-2026,"Briefings for 85 providers."
Nia-Nia,23-06-2026,"Briefings for 85 providers."
Mongbwalu,23-06-2026,"Decontamination of 1 health facility after suspect transfer. Provision of IPC/WASH kits. Decontamination of 4 health facilities and 1 church."
Mambasa,23-06-2026,"Provision of IPC/WASH kits."
Bambu,23-06-2026,"IPC briefings and accompaniment."
