nom,date,logistics_en
Mambasa,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones. Delivery of IPC prevention and control inputs to these health zones."
Rimba,02-06-2026,"Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones."
Mandima,02-06-2026, "Delivery of IPC prevention and control inputs to these health zones."
Miti-Murhesa,02-06-2026,"Planned: provision of 2 additional vehicles, installation of Internet kit at Miti-Murhesa, communication credits for IT/ECZS officers [D+2]."
Mongbwalu,03-06-2026,"Official handover of 3 vehicles by the Governor to the CDPS Ituri; 2 assigned to Rwampara and Nyankunde HZs. Delivery of IPC supplies to Mambasa, Mandima, Niania and Mongbwalu. 25 vehicles and 4 ambulances made available. Fuel supply provided for field vehicles and HGR Bunia ambulance. Ongoing construction monitoring of ETC at HGR Bunia."
Beni,03-06-2026,"Development of the supply distribution plan for inputs received in Beni."
Miti-Murhesa,03-06-2026,"Advocacy for 2 additional vehicles and an Internet kit for Miti-Murhesa."
Nyankunde,04-06-2026,"Delivery to Medical Technical Institutes: Adventiste, ITM Drodro, Nyankunde, Lolwa, Mongbwalu, Aradali, Bunia."
Mongbwalu,04-06-2026,"Delivery to Medical Technical Institutes: Adventiste, ITM Drodro, Nyankunde, Lolwa, Mongbwalu, Aradali, Bunia."
Bunia,04-06-2026,"Delivery to Medical Technical Institutes: Adventiste, ITM Drodro, Nyankunde, Lolwa, Mongbwalu, Aradali, Bunia. Continued delivery of IPC supplies to schools: EP Mudzi Pela, ISP Bunia, IDAP."
Katwa,06-06-2026,"Monitoring of ETC construction works at HGR Bunia (finishing works under way), CME Bunia, HGR Rwampara (ETC); monitoring of ETC rehabilitation works at HGR Katwa."
Beni,06-06-2026,"Delivery of laboratory materials to INRB/Beni, incl. 24 thermo-flash for the PNHF and 4 thermo-flash for HGR Katwa via Katwa HZ; preparation of the supply needs assessment for the pillars in Katwa HZ; monitoring of zone-vehicle maintenance and movement of the 4 vehicles provided by IOM."
Lolwa,09-06-2026,"Delivery of IPC inputs, medicines and materials."
Gety,09-06-2026,"Delivery of IPC inputs, medicines and materials."
Lita,09-06-2026,"Delivery of IPC inputs, medicines and materials."
Mongbwalu,09-06-2026,"Delivery of IPC inputs, medicines and materials."
Komanda,09-06-2026,"Delivery of IPC inputs, medicines and materials."
Nyankunde,09-06-2026,"Delivery of IPC inputs, medicines and materials."
Tchomia,09-06-2026,"Delivery of IPC inputs, medicines and materials."
Rwampara,11-06-2026,"Receipt of medicines and delivery of IPC inputs and medicines."
Bunia,11-06-2026,"Delivery of equipment for ETC/CME Bunia."
Nyankunde,15-06-2026,"Monitoring of ETC rehabilitation works at HGR Nyankunde."
Bunia,15-06-2026,"Construction of new ETC building at HGR Bunia (12 tents already functional)."
Bunia,16-06-2026,"Receipt of medicines (UG-PDSS support) for Bunia, Ariwara, Damas, Kilo, Bambu, Mongbwalu HZs. Delivery of medicines and IPC inputs to Mongbwalu, Komanda, Nia-Nia, Damas and Bunia HZs. Delivery of medicines to HGR Bunia ETC (ALIMA and IMC support). Supervision visits to BCZ Bunia depot and CME Bunia ETC storage site. Prospection visits to two major garages in Bunia for potential vehicle fleet maintenance."
Mongbwalu,16-06-2026,"Receipt of medicines (UG-PDSS support). Delivery of medicines and IPC inputs."
Komanda,16-06-2026,"Delivery of medicines and IPC inputs. Starlink kit and tablets delivered to strengthen data reporting."
Damas,16-06-2026,"Receipt of medicines (UG-PDSS support). Delivery of medicines and IPC inputs."
Nia-Nia,16-06-2026,"Delivery of medicines and IPC inputs."
Boga,18-06-2026,"Delivery of IPC inputs."
Nizi,18-06-2026,"Delivery of IPC inputs."
Nia-Nia,18-06-2026,"Delivery of IPC inputs."
Nyankunde,18-06-2026,"Delivery of IPC inputs. Delivery of small materials and IPC inputs to Provincial Lab/INRB."
Bambu,18-06-2026,"Delivery of medicines."
Bunia,18-06-2026,"Delivery of dignity kits and IPC inputs to CME Bunia ETC, HGR Nyankunde ETC, CSR Shari."
Bambu,19-06-2026,"Delivery of IPC inputs and Essential Generic Medicines."
Kilo,19-06-2026,"Delivery of IPC inputs and Essential Generic Medicines."
Mongbwalu,19-06-2026,"Delivery of IPC inputs and Essential Generic Medicines."
Bunia,19-06-2026,"Delivery of IPC inputs and Essential Generic Medicines to HGR Bunia ETC and CME Bunia ETC."
Nyankunde,19-06-2026,"Delivery of IPC inputs and Essential Generic Medicines to CSR SOTA."
Rwampara,19-06-2026,"Delivery of PPE kits."
Logo,22-06-2026,"Delivery of IPC inputs and medicines."
Aru,22-06-2026,"Delivery of IPC inputs and medicines."
Mongbwalu,22-06-2026,"Delivery of IPC inputs and medicines."
Lita,23-06-2026,"Delivery of UNICEF medicine supplies."
Logo,23-06-2026,"Additional loading of IPC and case management supplies."
