nom,date,provincial_management_fr
North-Kivu,15-06-2026,"Admissions : 7. Décès : 0, Non-cas : 0, Récupérations : 0, Evasions : 0. En isolement : 45 (15 confirmés, 30 suspectés). Taux d'occupation : 63,4%. 100 % confirmés sous suivi, 100 % de nouveaux suspects, 100 % suspectés sous suivi ont reçu une SMSPS. 1 enfant en crèche (100%), 13 enfants en communauté ont bénéficié de SMSPS. 7 compagnons CTE, 14 PPL, 12 ménages/communautés."
South-Kivu,15-06-2026,"Admissions : 7. Décès : 0, Non-cas : 3, Récupérations : 0, Evasions : 0. En isolement : 10 (1 confirmé, 9 suspecté). Taux d'occupation : 31,3%. 100 % de nouveaux cas confirmés, 100 % de cas suspects sous suivi reçu par SMSPS."
Ituri,16-06-2026,"Admissions : 47. Décès : 8, Non-cas : 23, Récupérations : 18, Evasions : 1. En isolement : 318 (138 confirmés, 180 suspectés). Taux d'occupation : 96,4%. 28,5 % des nouveaux cas confirmés, 25,9 % des cas confirmés sous suivi, 19,1 % des nouveaux cas suspects et 27 % des cas suspects sous suivi ont reçu une SMSPS. 70 résultats annoncés (30 positifs). 44 compagnons CTE, 288 PPL, 69 ménages/communautés."
North-Kivu,16-06-2026,"Admissions : 11. Décès : 9, Non-cas : 0, Récupérations : 0, Evasions : 0. En isolement : 46 (13 confirmés, 33 suspectés). Taux d'occupation : 64,8%. 100 % confirmés sous suivi, 100 % de nouveaux suspects, 100 % suspectés sous suivi ont reçu une SMSPS. 9 enfants de la communauté ont reçu la SMSPS. 3 compagnons CTE, 15 PPL, 20 ménages/communautés."
South-Kivu,16-06-2026,"Admissions : 9. Décès : 0, Non-cas : 4, Récupérations : 0, Evasions : 0. En isolement : 15 (1 confirmé, 14 suspecté). Taux d'occupation : 46,9%. 41,7 % confirmés sous suivi, 62,5 % de nouveaux suspects, 28,1 % suspectés sous suivi ont reçu la SMSPS. 11 résultats annoncés."
Ituri,18-06-2026,"Admissions : 53. Décès : 16, Non-cas : 19, Récupérations : 2, Evasions : 2. En isolement : 349 (139 confirmés, 210 suspectés). Taux d'occupation : 103,3% (surcapacité). 100 % des nouveaux cas confirmés, 57,6 % des cas confirmés sous suivi, 50 % des nouveaux cas suspects, 80,3 % des cas suspects sous suivi ont reçu une SMSPS. 10 résultats annoncés (3 positifs). 1 enfant en crèche a bénéficié de SMSPS. 71 compagnons CTE, 35 PPL, 37 ménages/communautés, 2 SDB appuyés."
North-Kivu,18-06-2026,"Admissions : 8. Décès : 0, Non-cas : 0, Récupérations : 0, Evasions : 0. En isolement : 56 (22 confirmés, 34 suspectés). Taux d'occupation : 78,9%. 100 % des nouveaux suspects ont reçu une SMSPS. 25 PPL ont reçu une SMSPS"
South-Kivu,18-06-2026,"Admissions : 9. Décès : 0, Non-cas : 1, Récupérations : 0, Evasions : 0. En isolement : 14 (1 confirmé, 13 suspecté). Taux d'occupation : 34,4%. 45,5 % des nouveaux cas confirmés, 36,7 % des cas confirmés sous suivi, 40 % des nouveaux cas suspects et 36,9 % des cas suspects sous suivi ont reçu une SMSPS. 6 enfants de la communauté ont reçu la SMSPS. 52 compagnons CTE, 28 PPL, 12 ménages/communautés."
Ituri,19-06-2026,"Admissions : 59. Décès : 5, Non-cas : 16, Récupérations : 12, Evasions : 5. En isolement : 307 (124 confirmés, 183 suspectés). Taux d'occupation : 90,8%. 40 % des nouveaux cas confirmés, 37,6 % des cas confirmés sous suivi, 2,7 % des nouveaux cas suspects et 20,7 % des cas suspects sous suivi ont reçu une SMSPS. 25 résultats annoncés (10 positifs). 42 compagnons CTE, 165 PPL, 35 ménages/communautés, 1 SDB appuyée."
North-Kivu,19-06-2026,"Admissions : 6. Décès : 0, Non-cas : 8, Récupérations : 0, Evasions : 0. En isolement : 54 (24 confirmés, 30 suspectés). Taux d'occupation : 76,1%. 100 % de nouveaux suspects, 100 % de suspects sous suivi ont reçu une SMSPS. 16 enfants de la communauté ont bénéficié de SMSPS. 12 compagnons CTE, 21 PPL, 20 ménages/communautés."
South-Kivu,19-06-2026,"100 % confirmés sous suivi, 100 % de nouveaux suspects, 100 % suspectés sous suivi ont reçu une SMSPS."
Ituri,23-06-2026,"7 patients déclarés guéris. Cumul guéris : 122 (113 Ituri, 7 Nord-Kivu, 2 Sud-Kivu). 2 PPL guéris réadmis à Rwampara (1 redevenu positif). Admissions : 46. Décès : 9, Non-cas : 14, Guéris : 7, Évadés : 0. En isolement : 337 (175 confirmés, 162 suspects). Taux occupation : 91,3%. Repas servis : 724 (163 confirmés, 146 suspects, 353 PPL, 62 accompagnants).  100% des nouveaux confirmés, 47,7% des confirmés suivis, 26,9% des nouveaux suspects, 43,1% des suspects suivis bénéficient d'interventions SMSPS. 26 résultats annoncés (16 positifs). 2 enfants en crèche (100%). 34 accompagnants CTE, 7 PPL, 8 ménages/communautés."
Nord-Kivu,23-06-2026,"Admissions : 8. Décès : 0, Non-cas : 5, Guéris : 0, Évadés : 0. En isolement : 59 (17 confirmés, 42 suspects). Taux occupation : 57,3%. 100% des nouveaux confirmés, 100% des confirmés suivis, 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 6 résultats annoncés (1 positif). 15 accompagnants CTE, 6 PPL, 32 ménages/communautés. 4 EDS appuyés."
Sud-Kivu,23-06-2026,"Admissions : 7. Décès : 0, Non-cas : 5, Guéris : 0, Évadés : 0. En isolement : 12 (0 confirmé, 12 suspects). Taux occupation : 37,5%. 100% des suspects suivis bénéficient d'interventions SMSPS. 1 enfant en crèche (100%), 31 enfants en communauté. 4 accompagnants CTE, 22 PPL."
Ituri,24-06-2026,"16 patients déclarés guéris. Cumul guéris : 138 (129 Ituri, 7 Nord-Kivu, 2 Sud-Kivu). 8 décès enregistrés dans les CTE (4 Bunia, 2 Mongbwalu, 1 Nyankunde, 1 Rwampara). Admissions : 59. Décès : 14, Non-cas : 37, Guéris : 16, Évadés : 1. En isolement : 313 (188 confirmés, 125 suspects). Taux occupation : 85,3%. Repas servis : 660 (111 confirmés, 100 suspects, 387 PPL, 62 accompagnants). 30% des nouveaux confirmés, 55,7% des confirmés suivis, 22,6% des nouveaux suspects, 52,9% des suspects suivis bénéficient d'interventions SMSPS. 17 résultats annoncés (6 positifs). 64 accompagnants CTE, 0 PPL, 5 ménages/communautés."
Nord-Kivu,24-06-2026,"Admissions : 8. Décès : 0, Non-cas : 5, Guéris : 0, Évadés : 0. En isolement : 59 (17 confirmés, 42 suspects). Taux occupation : 57,3%. 100% des nouveaux confirmés, 100% des confirmés suivis, 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 15 résultats annoncés (1 positif). 13 accompagnants CTE, 8 PPL, 29 ménages/communautés. 1 EDS appuyé."
Sud-Kivu,24-06-2026,"Admissions : 6. Décès : 0, Non-cas : 5, Guéris : 0, Évadés : 0. En isolement : 13 (0 confirmé, 13 suspects). Taux occupation : 29,5%. 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 23 enfants en communauté. 3 accompagnants CTE, 17 PPL."
Ituri,25-06-2026,"10 patients déclarés guéris. Cumul guéris : 148 (139 Ituri, 7 Nord-Kivu, 2 Sud-Kivu). 6 décès enregistrés dans les CTE (3 Mongbwalu, 1 Bunia, 1 Nyankunde, 1 Bambu). Admissions : 60. Décès : 7, Non-cas : 21, Guéris : 10, Évadés : 1. En isolement : 334 (193 confirmés, 141 suspects). Taux occupation : 89,8%. Repas servis : 706 (111 confirmés, 123 suspects, 437 PPL, 35 accompagnants). 27 ménages de patients ont reçu des vivres. 57,1% des nouveaux confirmés, 39,8% des confirmés suivis, 3,1% des nouveaux suspects, 73,6% des suspects suivis bénéficient d'interventions SMSPS. 10 résultats annoncés (4 positifs). 111 accompagnants CTE, 9 PPL, 51 ménages/communautés."
Nord-Kivu,25-06-2026,"Admissions : 12. Décès : 0, Non-cas : 0, Guéris : 0, Évadés : 0. En isolement : 68 (27 confirmés, 41 suspects). Taux occupation : 66,0%. 100% des confirmés suivis, 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 17 résultats annoncés (1 positif). 9 accompagnants CTE, 7 PPL, 34 ménages/communautés. 2 EDS appuyés."
Sud-Kivu,25-06-2026,"Admissions : 4. Décès : 0, Non-cas : 0, Guéris : 0, Évadés : 0. En isolement : 17 (0 confirmé, 17 suspects). Taux occupation : 38,6%. 100% des suspects suivis bénéficient d'interventions SMSPS. 11 enfants en communauté. 6 accompagnants CTE, 15 PPL."
Ituri,27-06-2026,"15 patients déclarés guéris. Cumul guéris : 178 (168 Ituri, 8 Nord-Kivu, 2 Sud-Kivu). 10 décès enregistrés dans les CTE (5 Mongbwalu, 2 Elikya/Bunia, 1 Nyankunde, 1 Komanda, 1 ISTM/Rwampara). Admissions : 50. Décès : 15, Non-cas : 14, Guéris : 15, Évadés : 1. En isolement : 338 (192 confirmés, 146 suspects). Taux occupation : 90,9%. Repas servis : 774 (146 confirmés, 151 suspects, 422 PPL, 55 accompagnants). 5 rations sèches distribuées. 37,5% des nouveaux confirmés, 44,8% des confirmés suivis, 61,7% des nouveaux suspects, 45,9% des suspects suivis bénéficient d'interventions SMSPS. 6 résultats annoncés (3 positifs). 1 enfant en crèche. 57 accompagnants CTE, 74 PPL, 7 ménages/communautés. 7 EDS appuyés."
Nord-Kivu,27-06-2026,"Admissions : 20. Décès : 1, Non-cas : 0, Guéris : 0, Évadés : 0. En isolement : 143 (16 confirmés, 127 suspects). Taux occupation : 138,8% (saturation à Butembo, Kalunguta, Masereka, Musienene). 100% des confirmés suivis, 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 28 résultats annoncés (0 positifs). 7 accompagnants CTE, 4 PPL, 1 ménage/communauté. 10 EDS appuyés"
Sud-Kivu,27-06-2026,"Admissions : 4. Décès : 0, Non-cas : 0, Guéris : 0, Évadés : 0. En isolement : 21 (0 confirmé, 21 suspects). Taux occupation : 47,7%. 100% des suspects suivis bénéficient d'interventions SMSPS. 3 enfants en communauté. 7 PPL."
Ituri,29-06-2026,"9 patients déclarés guéris (2 CME, 2 Nyankunde, 1 Rwampara, 1 Elikya, 1 Beni, 1 Kalunguta, 1 Katwa). Cumul guéris : 189 (176 Ituri, 11 Nord-Kivu, 2 Sud-Kivu). 13 décès enregistrés dans les CTE (4 Elikya, 4 CME, 2 Mongbwalu, 2 Nyankunde, 1 ISTM) et 1 à Beni. Admissions : 68. Décès : 17, Non-cas : 24, Guéris : 6, Évadés : 3. En isolement : 451 (200 confirmés, 251 suspects). Taux occupation : 102%. 66,7% des nouveaux confirmés, 61,7% des confirmés suivis, 55,0% des nouveaux suspects, 63,3% des suspects suivis bénéficient d'interventions SMSPS. 14 résultats annoncés (0 positifs). 56 accompagnants CTE, 11 PPL, 31 ménages/communautés. 16 EDS appuyés."
Nord-Kivu,29-06-2026,"Admissions : 13. Décès : 1, Non-cas : 1, Guéris : 3, Évadés : 2. En isolement : 135 (16 confirmés, 119 suspects). Taux occupation : 125%. 100% des nouveaux confirmés, 100% des confirmés suivis, 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 23 résultats annoncés (1 positif). 3 enfants en communauté. 2 accompagnants CTE, 11 PPL."
Sud-Kivu,29-06-2026,"Admissions : 2. Décès : 0, Non-cas : 0, Guéris : 0, Évadés : 0. En isolement : 23 (0 confirmé, 23 suspects). Taux occupation : 51,1%. 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS."
Ituri,30-06-2026,"9 décès enregistrés dans les CTE (5 Bunia, 2 Mongbwalu, 1 Bambu, 1 Elikya). 19 patients déclarés guéris. Cumul guéris: 208 (197 Ituri, 9 Nord-Kivu, 2 Sud-Kivu). Admissions: 69. Décès: 22, Non-cas: 24, Guéris: 19, Évadés: 4. En isolement: 415 (186 confirmés, 229 suspects). Taux occupation: 100%. 66,7% des nouveaux confirmés, 61,7% des confirmés suivis, 55% des nouveaux suspects, 63,3% des suspects suivis bénéficient d'interventions SMSPS. 14 résultats annoncés (0 positifs). 56 accompagnants CTE, 11 PPL, 31 ménages/communautés. 16 EDS appuyés."
Nord-Kivu,30-06-2026,"5 décès enregistrés dans les CTE (4 Katwa, 1 Beni). Admissions: 4. Décès: 3, Non-cas: 2, Guéris: 0, Évadés: 1. En isolement: 153 (18 confirmés, 135 suspects). Taux occupation: 125%. 100% des nouveaux confirmés, 100% des confirmés suivis, 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 23 résultats annoncés (1 positif). 3 enfants en communauté. 2 accompagnants CTE, 11 PPL."
Sud-Kivu,30-06-2026,"En isolement: 41 (0 confirmé, 41 suspects). Taux occupation: 73%. 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS."
Ituri,02-07-2026,"13 décès enregistrés dans les CTE (6 Mongbwalu, 4 Bunia, 2 Rwampara, 1 ISTM, 1 CME). 15 patients déclarés guéris (6 Mongbwalu, 3 CME, 3 Bunia, 2 Bambu, 1 Rwampara). Cumul guéris : 244. Admissions : 51. Décès : 15, Non-cas : 4, Guéris : 15, Évadés : 1. En isolement : 462 (201 confirmés, 261 suspects). Taux occupation : 90%. Repas servis : 758 (135 confirmés, 175 suspects, 420 PPL, 28 accompagnants). 40% des nouveaux confirmés, 56,5% des confirmés suivis, 63,1% des nouveaux suspects, 67,9% des suspects suivis bénéficient d'interventions SMSPS. 32 résultats annoncés (22 positifs). 1 enfant en crèche (100%). 57 accompagnants CTE, 14 PPL, 15 ménages/communautés. 14 EDS appuyés."
Nord-Kivu,02-07-2026,"1 décès enregistré au CTE Katwa. 1 patient déclaré guéri (Katwa). Cumul guéris : 244 (232 Ituri, 10 Nord-Kivu, 2 Sud-Kivu). Admissions : 21. Décès : 1, Non-cas : 0, Guéris : 1, Évadés : 0. En isolement : 147 (14 confirmés, 133 suspects). Taux occupation : 136%. Un enfant de 3 mois confirmé à l'HGR Beni ; suivi nutritionnel en cours.100% des nouveaux confirmés, 100% des confirmés suivis, 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 13 résultats annoncés (1 positif). 8 accompagnants CTE."
Sud-Kivu,02-07-2026,"Admissions : 0. En isolement : 19 (0 confirmé, 19 suspects). Taux occupation : 42,2%. 100% des suspects suivis bénéficient d'interventions SMSPS. 9 enfants en communauté."
Ituri,03-07-2026,"348 alertes (56 report + 292 nouvelles), 119 investiguées (34,2%). 74 validées vivantes, 45 décédées. 119 cas suspects. Contacts: 7.467 suivis, 6.148 vus (82,3%). 132 nouveaux contacts listés dans 4 ZS. 44 contacts devenus suspects. 384 contacts ont achevé leur suivi de 21 jours. 54/55 PoC activés (98,1%). 95.658 voyageurs. Screening: 94,2%. Lavage mains: 93,5%. Sensibilisation: 98,9%. 8 alertes notifiées: 6 vivantes aux PoC Mudzibala validées, 1 au PoC Ofoo validée/référée au CTE Aru. 8 décès enregistrés dans les CTE (3 Mongbwalu, 2 ISTM, 1 Bunia, 1 Elikya, 1 SOTA). 9 patients déclarés guéris (3 ISTM, 3 Mongbwalu, 2 Bambu, 1 Nyankunde). Cumul guéris: 239. Admissions: 34. Décès: 6, Non-cas: 30, Guéris: 9, Évadés: 4. En isolement: 428 (182 confirmés, 246 suspects). Taux occupation: 90%. 100% des nouveaux confirmés, 49,5% des confirmés suivis, 61,9% des nouveaux suspects, 74,7% des suspects suivis bénéficient d'interventions SMSPS. 92 résultats annoncés (47 positifs). 49 accompagnants CTE, 36 PPL, 27 ménages/communautés. 9 EDS appuyés."
Nord-Kivu,03-07-2026,"768 alertes, 768 investiguées (100%). 43 validées vivantes, 22 décédées. 61 cas suspects. Contacts: 2.504 suivis, 1.978 vus (78,9%). 197 nouveaux contacts listés dans 3 ZS. 117 contacts ont achevé leur suivi de 21 jours. 14/14 PoE renforcés (100%). 52.921 voyageurs. Screening: 97,5%. Lavage mains: 97,5%. Sensibilisation: 97,5%. 1 corps sans vie intercepté à Kasindi en provenance d'Ouganda. 2 décès enregistrés à Katwa. 1 patient déclaré guéri (Katwa). Cumul guéris: 239 (228 Ituri, 9 North Kivu, 2 South Kivu). Admissions: 6. Décès: 3, Non-cas: 1, Guéris: 1, Évadés: 0. En isolement: 156 (16 confirmés, 140 suspects). Taux occupation: 136%. 125% des nouveaux confirmés, 100% des confirmés suivis, 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 8 résultats annoncés (0 positifs). 13 accompagnants CTE, 12 PPL, 2 ménages/communautés."
Sud-Kivu,03-07-2026,"15 alertes (0 report + 15 nouvelles), 15 investiguées (100%). 9 validées vivantes. 5 cas suspects. Contacts: 0. Admissions: 0. En isolement: 44 (0 confirmé, 44 suspects). Taux occupation: 42,2%. 100% des suspects suivis bénéficient d'interventions SMSPS. 6 enfants en communauté. 1 accompagnant CTE, 1 PPL."
Ituri,04-07-2026,"7 décès enregistrés dans les CTE (2 Bunia, 2 Mongbwalu, 2 Elikya, 1 Komanda). 15 patients déclarés guéris (4 Rwampara, 3 Mongbwalu, 3 Bunia, 2 Komanda, 1 CME, 1 Elikya, 1 Nyankunde). Cumul guéris: 254. Admissions: 33. Décès: 6, Non-cas: 11, Guéris: 15, Évadés: 1. En isolement: 456 (189 confirmés, 267 suspects). Taux occupation: 90%. 52,6% des nouveaux confirmés, 34,4% des confirmés suivis, 27,6% des nouveaux suspects, 65,5% des suspects suivis bénéficient d'interventions SMSPS. 27 résultats annoncés (11 positifs). 9 enfants en crèche. 48 accompagnants CTE, 17 PPL, 16 ménages/communautés. 12 EDS appuyés."
Nord-Kivu,04-07-2026,"1 décès enregistré à Katwa. 0 patients déclarés guéris. Cumul guéris: 254 (243 Ituri, 9 Nord-Kivu, 2 Sud-Kivu). Admissions: 3. Décès: 0, Non-cas: 0, Guéris: 0, Évadés: 0. En isolement: 159 (17 confirmés, 142 suspects). Taux occupation: 136%. Ouverture officielle du CTE Beni (20 lits). Transfert d'un cas confirmé PPL de Musienene vers Katwa. 100% des nouveaux confirmés, 100% des confirmés suivis, 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 19 résultats annoncés (0 positifs). 15 enfants en communauté. 22 accompagnants CTE."
Sud-Kivu,04-07-2026,"Admissions: 0. En isolement: 45 (0 confirmé, 45 suspects). Taux occupation: 42,2%. 100% des suspects suivis bénéficient d'interventions SMSPS. 13 enfants en communauté."
Ituri,07-07-2026,"9 décès enregistrés dans les CTE/centres de transit. 5 patients déclarés guéris (2 SOTA, 1 Rwampara, 1 Mongbwalu, 1 Nyankunde). Cumul guéris : 268. Admissions : 71 (4 PPL, 67 autres). Décès : 16, Non-cas : 28, Guéris : 5, Évadés : 9. En isolement : 518 (212 confirmés, 306 suspects). Taux occupation : 85%. Repas servis : 927 (131 suspects, 146 confirmés, 601 PPL, 49 accompagnants). 41,7% des nouveaux confirmés, 41,8% des confirmés suivis, 22,9% des nouveaux suspects, 52,2% des suspects suivis bénéficient d'interventions SMSPS. 74 résultats annoncés (60 positifs). 10 enfants en crèche. 38 accompagnants CTE, 28 PPL, 31 ménages/communautés. 6 EDS appuyés."
Nord-Kivu,07-07-2026,"Admissions : 32. Décès : 0, Non-cas : 0, Guéris : 0, Évadés : 0. En isolement : 193 (20 confirmés, 173 suspects). Taux occupation : 137%. 100% des suspects suivis bénéficient d'interventions SMSPS. 5 enfants en communauté. 2 accompagnants CTE, 2 PPL."
Sud-Kivu,07-07-2026,"Admissions : 15. Décès : 0, Non-cas : 4, Guéris : 0, Évadés : 0. En isolement : 39 (0 confirmé, 39 suspects). Taux occupation : 86,6%."
Ituri,09-07-2026,"6 décès enregistrés dans les CTE (4 Bunia, 2 Mongbwalu). 4 patients déclarés guéris (2 ISTM, 2 Komanda). Cumul guéris : 281. Admissions : 43. Décès : 10, Non-cas : 27, Guéris : 4, Évadés : 4, Transférés : 2. En isolement : 536 (218 confirmés, 318 suspects). Taux occupation : 89,9%. Repas servis : 1.045 (141 suspects, 162 confirmés, 708 PPL, 34 accompagnants). 38,9% des nouveaux confirmés, 30,4% des confirmés suivis, 28,8% des nouveaux suspects, 33,9% des suspects suivis bénéficient d'interventions SMSPS. 27 résultats annoncés (0 positifs). 128 accompagnants CTE, 19 PPL, 23 ménages/communautés."
Nord-Kivu,09-07-2026,"1 patient déclaré guéri (Katwa). Cumul guéris : 281 (271 Ituri, 8 Nord-Kivu, 2 Sud-Kivu). Admissions : 44. Décès : 0, Non-cas : 27, Guéris : 1, Évadés : 0. En isolement : 225 (20 confirmés, 205 suspects). Taux occupation : 160%. 100% des nouveaux confirmés, 100% des confirmés suivis, 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 4 résultats annoncés (0 positifs). 8 accompagnants CTE, 1 PPL."
Sud-Kivu,09-07-2026,"Admissions : 2. Décès : 0, Non-cas : 6, Guéris : 0, Évadés : 0. En isolement : 19 (0 confirmé, 19 suspects). Taux occupation : 42,2%. 2 nouveaux suspects et 2 suspects suivis ont bénéficié d'interventions SMSPS. 7 enfants en communauté."
Ituri,10-07-2026,"9 décès enregistrés dans les CTE/CT (3 CME, 2 Elikya, 1 Bunia, 1 ISTM, 1 Sota, 1 Nizi). 6 patients déclarés guéris (4 Bunia, 1 Mongbwalu, 1 ISTM). Cumul guéris : 287. Admissions : 69. Décès : 18, Non-cas : 28, Guéris : 6, Évadés : 9. En isolement : 543 (237 confirmés, 306 suspects). Taux occupation : 88%. Repas servis : 981 (160 suspects, 178 confirmés, 586 PPL, 57 accompagnants). Réception de 200 poches de sang (135 O+, 27 A+, 34 B+, 2 O-, 2 AB+). 12,5% des nouveaux confirmés, 58,6% des confirmés suivis, 27,5% des nouveaux suspects, 77,7% des suspects suivis bénéficient d'interventions SMSPS. 14 résultats annoncés (0 positifs). 10 enfants en crèche. 110 accompagnants CTE, 43 PPL, 62 ménages/communautés. 3 EDS appuyés."
Nord-Kivu,10-07-2026,"Admissions : 36. Décès : 0, Non-cas : 6, Guéris : 0, Évadés : 0, Transférés : 1. En isolement : 196 (22 confirmés, 174 suspects). Taux occupation : 135,2%. 100% des confirmés suivis, 100% des nouveaux suspects, 100% des suspects suivis bénéficient d'interventions SMSPS. 2 résultats annoncés (0 positifs). 24 accompagnants CTE."
Sud-Kivu,10-07-2026,"Admissions : 5. Décès : 0, Non-cas : 6, Guéris : 0, Évadés : 0. En isolement : 24 (0 confirmé, 24 suspects). Taux occupation : 53,3%. 2 nouveaux suspects et 2 suspects suivis ont bénéficié d'interventions SMSPS. 7 enfants en communauté."
