nom,date,community_engagement_fr
Miti-Murhesa,02-06-2026,Sensibilisation de 399 écoliers (ZS Miti-Murhesa et Ibanda). Briefing de 40 agents de santé communautaire (RECO) à Kavumu.
Ibanda,02-06-2026,Sensibilisation de 399 écoliers (ZS Miti-Murhesa et Ibanda). Briefing de 40 agents de santé communautaire (RECO) à Kavumu.
Mongbalu,02-06-2026,"Mission conjointe d'évaluation des activités de réponse à la MVE (INSP-SGI-OMS-UNICEF-PAM). Échanges avec les autorités politico-administratives et les leaders communautaires sur la prévention, la détection précoce des cas et les mesures barrières. | Diffusion interactive sur la radio communautaire Tuungane de Mongbwalu : 17 appels en direct et 7 messages enregistrés."
Butembo,03-06-2026,"19 832 personnes sensibilisées : dont 17 357 en porte-à-porte dans 7 352 foyers (sur 18 584 attendus, 40%). 1 648 élèves et 60 enseignants sensibilisés. 241 volontaires Croix-Rouge actifs. 699 cas de refus/hésitations enregistrés. 59 alertes communautaires (taux 4,2%). 18 radios locales mobilisées. Visites en porte-à-porte dans 448 ménages à Butembo (1 335 personnes touchées)."
Bunia,03-06-2026,Dialogue communautaire avec les dirigeants du quartier Nyakasanza (Bunia). Conférence de presse de la DG INSP avec 25 journalistes. Large sensibilisation du gouverneur militaire contre la rumeur du « cercueil vide ». Des rumeurs circulent dans la région de Muzimaria selon lesquelles des cercueils seraient enterrés vides par les équipes d'intervention. Les chefs de certains quartiers ont peur d’appeler des équipes d’intervention.
Mongbalu,03-06-2026,Soulèvement des jeunes contre l’équipe d’intervention ; pare-brise de deux véhicules endommagés par des projectiles. Début du dialogue communautaire et de l’engagement avec les dirigeants locaux.
Miti-Murhesa,03-06-2026,Dialogue communautaire avec 36 participants à Kahungu. Sensibilisation de 714 écoliers (339 filles) et 18 enseignants.
Miti-Murhesa,04-06-2026,"Plaidoyer auprès de 17 chefs religieux à Katana HZ ; briefing de 80 relais communautaires et membres des CAC à Lwiro, Buhandahanda et Kavumu sur la MVE, reporting d'alerte et retour d'information de la communauté ; sensibilisation de masse à l'école primaire de Kahaya (AS Kavumu, Miti-Murhesa) auprès de 382 élèves (164 filles)."
Bunia,04-06-2026,"Réunion de presse du Directeur Général de l'INSP sur la gestion positive des rumeurs, le respect des enterrements sécurisés, l'orientation des personnes symptomatiques vers les établissements, l'importance d'une CTE ; 50 personnes déplacées de guerre sur le site de Kigonze (Bunia HZ) sensibilisées autour d'un cas de décès sur l'importance d'inhumations sécurisées (elles ont exprimé le besoin d'un cercueil) ; dialogue communautaire à Bunia HZ avec 21 dirigeants de diverses confessions religieuses qui ont reçu des messages éducatifs sur la prévention de la MVE."
Nyankunde,05-06-2026,"Sensibilisation de 45 opérateurs économiques (FEC dont 12 femmes) sur les mesures de prévention de la MVE sur leurs lieux de travail (magasins, boutiques, marchés, etc.) et à leur domicile. Début de la sensibilisation pour favoriser l’admission et l’isolement des patients à l’ETC de Nyankunde (constat : aucune résistance des patients à l’isolement). Sensibilisation des militaires des FARDC du secteur opérationnel TSERE (Rwampara HZ) lors du défilé matinal."
Miti-Murhesa,06-06-2026,Sensibilisation massive de 78 personnes (46 femmes) au marché de Katana sur les mesures de prévention et la signalisation de la MVE ; causerie pédagogique avec 19 chauffeurs de moto-taxi au centre de Kavumu (ZS de Miti-Murhesa) ; harmonisation du module de briefing des relais communautaires.
Bunia,06-06-2026,"42 représentantes de trois communes de la municipalité de Bunia ont été informées des mesures de prévention de la MVE au marché et à leur domicile (accent sur la PCI, le lavage correct des mains, le respect des enterrements sûrs) ; l’analyse des retours d’expérience a révélé des plaintes communautaires concernant la faible disponibilité des services (inhumations tardives en toute sécurité, faible traitement des alertes notifiées par les acteurs communautaires et la ligne d’assistance téléphonique, faible disponibilité des équipes de décontamination, faible disponibilité des soins – notamment nutritionnels – entraînant de multiples évasions) ; 7 sensibilisations de masse organisées dans 7 ZS affectées sur les mesures de prévention de la MVE (1 210 personnes touchées)."
