nom,date,provincial_laboratory_fr
Ituri,11-06-2026,"35 nouveaux échantillons collectés et analysés. Positivité : 48,6% (17 positifs)."
North-Kivu,11-06-2026,172 échantillons en attente (délai > 5 jours).
Ituri,15-06-2026,"130 nouveaux échantillons collectés et analysés. Positivité : 22,3% (29 positifs)."
South-Kivu,15-06-2026,"7 nouveaux échantillons prélevés et analysés, tous négatifs."
Ituri,18-06-2026,"101 échantillons collectés et analysés. Positivité : 34,6% (35 positifs)."
North-Kivu,18-06-2026,"79 nouveaux échantillons collectés et analysés. Positivité : 1,3% (1 positif)."
South-Kivu,18-06-2026,"10 nouveaux échantillons collectés, en cours d'analyse."
Ituri,23-06-2026,"74 échantillons collectés et analysés. Positivité : 31,1% (23 positifs)."
Nord-Kivu,23-06-2026,"76 nouveaux échantillons collectés, 39 analysés (1 positif, positivité 2,6%)."
Sud-Kivu,23-06-2026,"7 échantillons collectés et analysés, tous négatifs."
Ituri,24-06-2026,"134 échantillons collectés et analysés. Positivité : 25,0% (34 positifs)."
Nord-Kivu,24-06-2026,"117 échantillons reçus, 97 analysés (3 positifs, positivité 3,1%), 20 en cours d'analyse."
Sud-Kivu,24-06-2026,"6 échantillons collectés et analysés, tous négatifs."
Ituri,25-06-2026,"165 échantillons collectés et analysés. Positivité : 25,4% (42 positifs)."
Nord-Kivu,25-06-2026,"95 échantillons reçus et analysés, 6 positifs (positivité 6,3%)."
Sud-Kivu,25-06-2026,"4 échantillons collectés et analysés, tous négatifs."
Ituri,27-06-2026,"162 échantillons collectés et analysés. Positivité : 27,7% (45 positifs)."
Nord-Kivu,27-06-2026,"115 échantillons reçus, 99 analysés (2 positifs). 16 échantillons en cours d'analyse (11 Beni, 5 Butembo)."
Sud-Kivu,27-06-2026,"4 échantillons collectés et analysés, tous négatifs."
Ituri,29-06-2026,"64 échantillons collectés et analysés. Positivité : 26,6% (17 positifs)."
Nord-Kivu,29-06-2026,"97 échantillons reçus, 77 analysés. Positivité : 11,7% (9 positifs)."
Sud-Kivu,29-06-2026,"0 échantillon collecté et analysé."
Ituri,30-06-2026,"109 échantillons collectés et analysés. Positivité: 63,3% (69 positifs)."
Nord-Kivu,30-06-2026,"135 échantillons collectés et analysés. Positivité: 3% (4 positifs)."
Sud-Kivu,30-06-2026,"1 échantillon collecté, en cours d'analyse."
Ituri,02-07-2026,"100 échantillons collectés et analysés. Positivité : 33% (33 positifs). Installation des laboratoires de diagnostic à Komanda, Nizi, Mambasa et Nia-Nia."
Nord-Kivu,02-07-2026,"94 échantillons collectés et analysés. Positivité : 9,6% (9 positifs)."
Sud-Kivu,02-07-2026,"2 échantillons collectés et analysés, tous négatifs."
Ituri,03-07-2026,"54 échantillons collectés et analysés. Positivité: 38,8% (21 positifs). Installation des laboratoires de diagnostic à Komanda, Nizi, Mambasa et Nia-Nia."
Nord-Kivu,03-07-2026,"93 échantillons collectés et analysés. Positivité: 5,4% (5 positifs)."
Sud-Kivu,03-07-2026,"5 échantillons collectés, en cours d'analyse."
Ituri,04-07-2026,"99 échantillons collectés et analysés. Positivité: 30,3% (30 positifs)."
Nord-Kivu,04-07-2026,"73 échantillons collectés et analysés. Positivité: 4,1% (3 positifs)."
Sud-Kivu,04-07-2026,"2 échantillons collectés, en cours d'analyse."
Ituri,07-07-2026,"147 échantillons collectés et analysés. Positivité : 30,6% (45 positifs)."
Nord-Kivu,07-07-2026,"90 échantillons collectés et analysés. Positivité : 6,7% (6 positifs)."
Sud-Kivu,07-07-2026,"3 échantillons collectés, en cours d'analyse."
Ituri,09-07-2026,"104 échantillons collectés et analysés. Positivité : 30,8% (32 positifs)."
Nord-Kivu,09-07-2026,"108 échantillons collectés et analysés. Positivité : 5,6% (6 positifs)."
Sud-Kivu,09-07-2026,"2 échantillons collectés, en cours d'analyse."
Ituri,10-07-2026,"177 échantillons collectés et analysés. Positivité : 23,7% (42 positifs)."
Nord-Kivu,10-07-2026,"54 échantillons collectés et analysés. Positivité : 1,9% (1 positif)."
Sud-Kivu,10-07-2026,"5 échantillons collectés, en cours d'analyse."
Ituri,11-07-2026,"227 échantillons collectés et analysés. Positivité : 19,9% (45 positifs)."
Nord-Kivu,11-07-2026,"123 échantillons collectés et analysés. Positivité : 6,5% (8 positifs)."
Sud-Kivu,11-07-2026,"6 échantillons collectés, en cours d'analyse."
Ituri,13-07-2026,"229 échantillons analysés (208 sang, 21 écouvillons). 42 positifs (18,3% de positivité). Forte demande de diagnostic."
Nord-Kivu,13-07-2026,"99 échantillons analysés. 5 positifs (6,5% de positivité). Faible rendement et arriéré d'échantillons persistent."
Sud-Kivu,13-07-2026,"4 échantillons collectés, en cours d'analyse."
Ituri,19-07-2026,"167 échantillons collectés et analysés. Positivité: 41,9% (70 positifs: 47 vivants, 23 décès)."
Nord-Kivu,19-07-2026,"105 échantillons reçus et analysés. Positivité: 8,6% (9 positifs: 8 vivants, 1 décès)."
Haut-Uele,19-07-2026,"4 échantillons prélevés, en cours d'analyse."
