nom,date,provincial_infection_prevention_controle_fr
South-Kivu,07-06-2026,"Un corps a été placé en soins intensifs dans un hôpital général de référence. Un soutien a été apporté à la décontamination d'une école primaire et 4 personnes ont été encadrées pour préparer des solutions chlorées à 0,05% et 0,5%. Une séance d'information a été organisée auprès de 208 personnes issues de 6 aires de santé réparties dans deux zones de santé sur la décontamination, les enterrements sûrs et dignes et le respect des mesures barrières."
Ituri,08-06-2026,"Cartes de score IPC : 19 établissements (un à 38,7 %), 2 établissements (11 %, 12 %) et 16 établissements (tous < 50 %). La formation a commencé pour 50 prestataires de 16 établissements sur l'IPC. Cercles ouverts autour des cas confirmés dans 3 zones avec décontamination des sites. Les prestataires ont été informés des principes fondamentaux de la gestion des déchets, de l’hygiène des mains, du bionettoyage, des EPI et de la MVE ; les techniciens de surface ont été informés sur la MVE et la norme IPC."
North-Kivu,08-06-2026,"A Katwa, 2 formations sanitaires sur 4 ont été décontaminées autour de 2 cas confirmés ; 3 ménages ont été identifiés et planifiés pour une décontamination. De plus, 7 établissements de santé sur 8 ont été accompagnés et 37 prestataires ont été informés sur les sujets de PCI dans ces établissements."
South-Kivu,08-06-2026,"La décontamination a été réalisée dans une unité de soins intensifs et un site de cantonnement. Les évaluations des cartes de pointage de deux établissements de santé (40,0 % et 9,7 %) ont été suivies par l'élaboration de plans de rétablissement. Douze prestataires ont été informés de la décontamination et du port/retrait des EPI. Une évaluation de 5 points chauds a été réalisée et des dispositifs de lavage des mains ont été installés dans une zone de santé."
North-Kivu,11-06-2026,"Bilan de 4 formations sanitaires (FEPSI :61%, Shangilieni :48%, Kyaghala :68%, La Charité :15%). 2/2 installations décontaminées (HGR Katwa, CH FEPSI). 46/56 prestataires informés. Évaluation des risques de 15/36 prestataires (11 à haut risque, 3 intermédiaires, 1 à faible risque). 26 structures accompagnées à Goma, Karisimbi, Nyiragongo avec 29 prestataires briefés."
South-Kivu,11-06-2026,Décontamination de 12 ménages et 9 latrines. Prise en charge de l'EIR (mise/retrait) pour 6 échantillons. Briefing de 6 hygiénistes au CS Kahungu sur la technique de décontamination '3 seaux'.
North-Kivu,15-06-2026,"38 formations sanitaires accompagnées à Butembo, Katwa, Beni et Goma. Fournitures IPC livrées à HGR Matanda. Décontamination des salles de maternité et post-partum à l'HGR Matanda. Évaluation des risques de 6/13 prestataires (3 à haut risque). 97 prestataires briefés à Katwa, Beni et Butembo. Décontamination de l'HGR Kitatumba et du CH Saint Joseph (1/6 installations restantes). Évaluation du tableau de bord de 7 établissements à Beni (moyenne 47,4%). Formation clôturée pour 11 prestataires sur le site de transit des réfugiés avec le soutien de l'OMS/HCR."
South-Kivu,15-06-2026,"Évaluation par fiche de 5 établissements de santé (4 dans la ZS de Katana, 1 dans la ZS de Mitimurhesa)."
North-Kivu,16-06-2026,"Début d'un briefing IPC de 2 jours pour les prestataires de santé des cliniques de la MONUSCO à Goma. Évaluation des risques des 5/7 membres du personnel exposés à un cas confirmé au CH Félicité (risque élevé). Bilan de 23 personnels exposés à Beni (12 à haut risque). 126 prestataires briefés lors de l'accompagnement de 34 formations sanitaires à Beni, Butembo, Katwa. Encadrement du CH LA VERITE qui a reçu 5 cas positifs. Décontamination autour des cas confirmés à Butembo et Katwa. Décontamination de 1/2 installations (CH DON DIVIN) à Katwa. Évaluation du tableau de bord de 12 établissements (Beni moy. 55,7%, Katwa : HGR KITATUMBA 42%, Dispensaire Félicité 24,6%). Fournitures IPC livrées à CH Wanamahika (Katwa)."
South-Kivu,16-06-2026,"Évaluation par fiche de 5 établissements de santé (4 dans la ZS de Katana, 1 dans la ZS de Mitimurhesa). Décontamination de 8 ménages et 8 latrines autour de 8 cas suspects à Katana HZ (5 Kalagane, 3 Chiranga)."
North-Kivu,18-06-2026,"Évaluation des risques au CH CBCA (Katwa) : 1 prestataire à haut risque. Évaluation du tableau de bord de 3 établissements à Beni (CH CBCA 56,5%, CHP Heshima Letu 60%, Dispensaire Bora Uzima 22%). Lacunes : triage non fonctionnel, dispositifs de lavage des mains insuffisants, EPI insuffisants, prestataires non formés, mauvaise gestion des déchets, pas d'incinérateur. Briefing de 222 prestataires à Beni, Butembo, Goma, Katwa, Karisimbi, Nyiragongo. 46 établissements de santé accompagnés pour un mentorat IPC. Décontamination de 6 installations (3 Katwa, 1 Butembo, 2 Beni)."
South-Kivu,18-06-2026,"Conditionnement et distribution de fournitures IPC et EPI à la ZS de Miti-Murhesa. Prise en charge de l'EIR pour 10 ré-échantillonnages. Décontamination de 21 ménages (8 Kalagane AS/Katana, 13 Kabushwa AS/Miti-Murhesa). Installation de 4 postes de contrôle (3 Lwiro AS, 1 Kabushwa AS) avec l'appui du PNHF/OIM. Distribution de kits IPC aux écoles (EP KABINDI, EP MURHANGA, EP CIBATI/COMBO). Décontamination en ambulance après transfert du patient. Bilan au CH Bugarula (Idjwi HZ) : 43,5%."
North-Kivu,19-06-2026,"Évaluation des risques de 16 prestataires exposés : 8 à Katwa (tous à haut risque), 8 à Butembo (6 à haut risque, 2 à faible risque). Décontamination de 2 formations sanitaires (triage CS Makerere) après transfert de cas confirmés et suspectés. Briefing de 104 prestataires sur les définitions de cas et les précautions standards de PCI (triage, isolement, hygiène des mains, nettoyage, désinfection, gestion des déchets) à Butembo, Katwa, Beni, Karisimbi, Nyiragongo. Appui au briefing de 18 prestataires de la morgue à Katwa (Croix Rouge). Fournitures IPC/WASH livrées à 27/42 établissements de santé à Butembo avec le soutien de l'OMS. Accompagnement de 22 formations sanitaires prioritaires. L'évaluation du tableau de bord de 11 établissements (10 Beni, 1 Butembo) est en moyenne de 45,4%. 4 SDB et 21 écouvillons post-mortem réalisés au cours des dernières 24 heures."
Nord-Kivu,23-06-2026,"Briefing de 290 prestataires à Beni, Butembo, Katwa, Oicha, Goma, Karisimbi, Nyiragongo. Évaluation de 11 ESS (moyenne 45,8%). Clôture formation de 34 prestataires (Karisimbi, IMA). Décontamination de 4 ESS (2 Katwa, 2 Beni) et 1 ménage (Kihinga/Katwa). Dotation intrants PCI à CH Mukuna, CH Jérusalem (Katwa) et HGR Oicha. 26 alertes décès prises en charge, 24 prélèvements post-mortem, 5 EDS réalisées."
Sud-Kivu,23-06-2026,"Distribution intrants PCI/PPE à 5 ESS (Katana, OMS). Atelier simulations (EPI, EDS). Coaching Kobocollect à 45 membres. Bionettoyage de 17 écoles (centres d'examen). 4 évaluations scorecard (Idjwi : 56,5% et 24,2%; Fizi : 43,5%; Nundu : 32,3%). Installation de 4 PoC (3 Lwiro, 1 Kabushwa, PNHF/OIM)."
Ituri,24-06-2026,"22/27 EDS réalisés (5 reports). 10 évaluations scorecard dans les ESS. 20 ESS accompagnés avec 81 prestataires briefés. Décontamination de 17 ménages, 4 ESS et 16 véhicules. Briefing de 55 leaders communautaires sur la MVE et les précautions standard."
Nord-Kivu,24-06-2026,"Mission conjointe OMS-PCI à Oicha : visite du CT Oicha avec identification des gaps et dotation d'intrants PCI/WASH. Mission conjointe UNICEF-PCI au CSR CARL BEKER pour suivi du forage photo-voltaïque et unité de triage. Suivi du PLM installé à l'entrée du marché central de Beni. Approvisionnement en eau des citernes du CTE Katwa par CAUB (partenaire UNICEF)."
Sud-Kivu,24-06-2026,"Clôture de l'atelier de simulation sur le port/déshabillage des EPI, EDS, et coaching sur l'outil Kobocollect pour les évaluations scorecard (45 membres du pilier PCI à RIO)."
Ituri,25-06-2026,"38/45 EDS réalisés (7 reports). 17 swabs communautaires effectués. 5 évaluations scorecard dans les ESS. 13 ESS accompagnés. Décontamination de 3 ESS, 20 ménages autour des cas confirmés et 38 véhicules. 191 PPL formés et 55 Recos/leaders communautaires briefés sur les précautions standards."
Nord-Kivu,25-06-2026,"Dotation en kits PCI M1 et M2 à 18 ESS prioritaires (10 Nyiragongo, 8 Karisimbi). Dotation d'intrants PCI (EPI, chlore, détergent, seaux, bottes, gants, tabliers) aux équipes PCI communautaires de Karisimbi et Nyiragongo. Préparation de la mission conjointe OMS-DPS-INRB (SURVEPI-LABO-PCI-PECH-CREC) à Kayna, Alimbongo, Rutshuru et Rwanguba pour renforcer la coordination zonale. Accompagnement des ESS prioritaires dans les zones hotspot avec briefing de 106 prestataires sur les thématiques PCI."
Sud-Kivu,25-06-2026,"Distribution d'intrants PCI et PPE à 4 ESS de Katana (appui OMS). Briefings de 8 superviseurs PCI (2 DPS, 3 Miti-Murhesa, 3 Katana). Décontamination de 4 ménages de cas suspects (3 Katana, 1 Miti-Murhesa). Bionettoyage de 10 écoles (centres d'examen)."
Ituri,27-06-2026,"18 ménages identifiés autour des cas à Bunia, Mongbwalu, Nyankunde, Komanda ; 13 décontaminés. 4 ESS identifiés et décontaminés. 29/29 EDS réalisés avec 14 reports rattrapés. 18 swabs communautaires réalisés à Bunia, Mongbwalu, Nyankunde, Komanda. Évaluations PCI/WASH : CS Hoho (17,7%), PS Seule la fois sauve (35,4%), PS Benedicte (24,2%), CM Lobiko (62,9%). 13 ESS accompagnés, 29 véhicules décontaminés. Briefing de 258 PPL et 73 Recos/leaders communautaires. 37 prestataires briefés lors de la supervision formative sur les généralités de la MVE et les précautions standards."
Nord-Kivu,27-06-2026,"Lancement de la formation de 36 prestataires : 12 équipe EDS (Kyondo), 12 (Butembo), 12 (Musienene) à Butembo. Briefing des ECP et superviseurs PCI sur les outils de collecte des données."
Ituri,29-06-2026,"6/17 ménages identifiés et décontaminés autour de cas confirmés. 8 ESS identifiés et décontaminés à Bunia, Rwampara, Mongbwalu, Komanda. 9 décontaminations de lieux publics (bureau Sokimo, DGPI, COUSP). 26/29 EDS réalisés (2 reports). Évaluations PCI/WASH de 6 ESS : PS Katoto, PS Ushindi (38,7%), PS Maranatha (45,2%), CS Komanda (76%), PS Santé d'abord (34%), Dispensaire Afia Bora (30,6%), CH Unibu (71%). Décontamination de 25 véhicules (ambulances, corbillards) et briefing de 33 prestataires. 93 PPL formés sur les précautions standards à Bunia (50), Nizi (18), Mambasa (25). Dotation de 3 kits ménages à Mongbwalu et Nia-Nia."
Nord-Kivu,29-06-2026,"18 EDS réalisés sur 32 alertes de décès (56,2% de couverture). Délai moyen d'intervention de 4 heures (conforme aux standards). 31 swabs réalisés."
Ituri,30-06-2026,"29/27 ménages identifiés et décontaminés autour de cas confirmés. 3 ESS identifiés et décontaminés à Bunia, Rwampara, Mongbwalu, Komanda. 9 décontaminations de lieux publics (Sokimo, DGPI, COUSP). 26/29 EDS réalisés (2 reports). Évaluations PCI/WASH de 9 ESS. Décontamination de 55 véhicules et briefing de 33 prestataires."
Nord-Kivu,30-06-2026,"Dotation de 5 véhicules par l'OMS pour les équipes des ZS de Katwa, Butembo, Musienene et Kyondo, pour les activités PCI."
Ituri,02-07-2026,"21/27 ménages identifiés et décontaminés autour de cas confirmés. Décontamination de 55 véhicules et briefing de 33 prestataires. 3 ESS identifiés et décontaminés à Bunia, Rwampara, Mongbwalu, Komanda. 9 décontaminations de lieux publics. 26/29 EDS réalisés (2 reports). Évaluations PCI/WASH de 9 ESS. Accompagnement de 29 ESS. Briefing de 52 Recos et leaders communautaires chez les prisonniers. Dotation de kits d'hygiène aux ménages de cas confirmés à Mongbwalu."
Ituri,03-07-2026,"77 alertes EDS notifiées, 54 réalisées (23 reports) à Bunia, Mongbwalu, Nyankunde, Rwampara, Nizi, Komanda, Bambu. 15/15 ménages identifiés et décontaminés autour de cas confirmés. Décontamination de 10 véhicules et briefing de 35 prestataires. 3 ESS identifiés et décontaminés à Bunia, Rwampara, Mongbwalu, Komanda. 4 décontaminations de lieux publics. Évaluations PCI/WASH de 8 ESS. Accompagnement de 29 ESS. Briefing de 80 Recos et leaders communautaires à Bunia (65) et Nia-Nia (15). Dotation de kits PCI à CS Kutumba et CSR Kalivuli avec briefing de 2 hygiénistes."
Nord-Kivu,03-07-2026,"Évaluation scorecard de 8 ESS à Beni (score moyen 28,1%). Scores: Dispensaire de l'Espoir (53%), CM La Joie (34,8%), Dispensaire Imani Bora (32,5%), CM Kithimba (25,8%), Dispensaire Katoka (20%), CM Mbanasuvya (20%), Dispensaire Tuha (20%), CM Mbanivuka (19%). Décontamination de 3 ESS après passage de cas suspects. Briefing de 183 prestataires sur les thématiques PCI."
Nord-Kivu,04-07-2026,"30 EDS réalisés sur 29 alertes de décès; 28 corps swabés et sécurisés, 1 corps non swabé, 6 corps reportés. Briefing des équipes EDS de Beni débuté. Incident: équipe PCI attaquée et véhicule lapidé lors de la décontamination du CMC Kiharo (AS Rughenda)."
Ituri,07-07-2026,"21 ménages identifiés et décontaminés autour des cas. 1 structure de soins identifiée et décontaminée. 29 décès enregistrés pour les activités EDS, 22 EDS réalisés (76% de couverture), 18 prélèvements post-mortem effectués."
Nord-Kivu,07-07-2026,"Évaluations scorecard de 10 ESS à Beni (5), Mutwanga (2), Oicha (3) – score moyen 26,1%, max 37,1%, aucune n'a atteint 50%. 57 ESS suivis et accompagnés à Beni (20), Kyondo (1), Oicha (20), Butembo (12), Musienene (4). Dotation de kits PCI à 8 ESS à Beni (IMC). 155 prestataires briefés (18 Musienene, 4 Kyondo, 57 Butembo, 76 Oicha). Lancement du briefing PCI-WASH de 19 leaders communautaires et religieux à Butembo sur les mesures barrières."
Ituri,09-07-2026,"44 cas confirmés ont fait l'objet d'activités en ring. 9 ménages identifiés, 6 décontaminés (66,7%). 3 ESS identifiés, 2 décontaminés. 12 évaluations PCI/WASH, 9 dotations en kits/intrants, 18 suivis/accompagnements ESS, 1 décontamination ESS, 7 décontaminations de moyens de transport. 12 PPL, 26 membres EDS et 120 prestataires formés/briefés."
Nord-Kivu,09-07-2026,"Évaluations scorecard de 7 ESS (Beni 3, Kibua 1, Musienene 2, Oicha 1) – score moyen 35%. 22 prestataires briefés sur PCI, CREC et surveillance communautaire. 15 prestataires du CH La Vérité formés sur PCI/WASH. 337 prestataires et 16 PPL briefés lors des supervisions. 3 ESS, 17 lieux de séjour à Butembo et 16 ménages décontaminés. 29 alertes de décès, 27 corps swabés/sécurisés, 2 échecs de prélèvement."
Ituri,10-07-2026,"30 cas confirmés ont fait l'objet d'activités en ring. 31 ménages identifiés, 29 décontaminés (93,5%). 8 ESS identifiés, 7 décontaminés. 20 évaluations PCI/WASH, 65 dotations en kits/intrants, 31 suivis/accompagnements ESS, 3 décontaminations ESS, 24 décontaminations de moyens de transport. 18 PPL formés et 86 prestataires briefés."
Nord-Kivu,10-07-2026,"Clôture du briefing de 22 prestataires sur PCI, CREC et SCBC à Butembo (appui CARITAS). Formation de 15 prestataires PCI à Beni (appui IRC). Évaluations scorecard de 11 ESS (Beni 3, Kibua 1, Musienene 2, Oicha 5) – score moyen 35%. Formation de 15 prestataires du CH La Vérité sur PCI/WASH (appui OMS). Suivi/accompagnement de 81 ESS (27 Oicha, 24 Butembo, 10 Musienene, 1 Kyondo, 2 structures tradipraticiens Beni). Évaluation risque d'exposition de 16 PPL (10 Butembo : 5 haut risque, 3 faible risque; 6 Musienene : 4 haut risque, 2 faible risque). Investigation de 6 alertes de décès à Musienene (1 swabé/sécurisé) et 3 à Beni. Briefing de 488 prestataires (195 Beni, 114 Oicha, 79 Butembo, 44 Kyondo, 26 Musienene). Décontamination de 21 sites (3 ESS Musienene dont 1 structure traditionnelle, 18 lieux de séjour Butembo). Évaluations dans 42 ESS prioritaires (Butembo, Katwa, Beni, Kyondo, Karisimbi, Musienene, Goma)."
Ituri,11-07-2026,"67 ménages ciblés autour des cas, 42 décontaminés dans les 48h (62,7%). 12 ESS ayant abrité un cas confirmé décontaminés dans les 48h (100%). 175/1.170 ESS disposaient d'un triage/prétriage avec circuit unidirectionnel (15,0%). 45/678 ESS dans les aires à haut risque avaient reçu un kit PCI complet (6,6%). 924/1.640 prestataires formés sur PCI/EHA Ebola (56,3%). 208/1.170 ESS disposaient d'une capacité de conservation d'eau pour 48h (17,8%)."
Nord-Kivu,11-07-2026,"7 corps en attente du jour précédent, 24 alertes de décès notifiées. 24 corps swabés/sécurisés, 26 EDS réalisés, 5 corps reportés. Formation de l'équipe EDS de Kalunguta achevée."
Ituri,13-07-2026,"99% ESS of confirmed cases. 924 providers trained. 4 PPL contaminated at Tchomia (2 deaths). IPC training ongoing."
Nord-Kivu,13-07-2026,"Morgue decontamination in Beni, Katwa, Kalunguta. IPC training ongoing."
Ituri,19-07-2026,"8 rings ouverts autour des cas. 23/76 ménages ou lieux de passage décontaminés dans les 48h (30%). 4 ESS et 4 moyens de transport décontaminés. 18 ESS suivis/accompagnés. 8 PPL formés. Poursuite des EDS et swabs, avec résistances communautaires rapportées à Komanda, Mambasa, Mandima et Mangala. Poursuite des travaux de construction de la base de décontamination à Bunia."
Nord-Kivu,19-07-2026,"20 alertes de décès, 20 corps swabés et sécurisés, 24 EDS réalisés et 10 reports du jour."
