nom,date,monitoring_fr
Rwampara,20-05-2026,"Alertes (20/05) : 35 au total (4 portées + 31 nouvelles) ; 34 vivants, 1 décédé ; 35 ont fait l’objet d’une enquête ; 25 validés, 10 invalidés ; 14 échantillonnés ; 25 isolés. Activation de PoC Dele (Rwampara HZ) et Mudzibala (Bunia HZ) avec le soutien de l'OIM ; 124 prestataires identifiés pour 10 PoC ; L'OIM a fourni 120 chaises en plastique, 60 boîtes de gants et d'autres matériels de PCI ; évaluation du site de Kasindi/Nobili PoE et Eringeti/Mavivi Airport/PK5/Nzuma PoC. Synthèse PoE/PoC (20/05) : 1 881 voyageurs passés, dépistés, lavés à la main et sensibilisés ; 0 alerte, 0 refus (points clés : Bunia Mudzibala 355, Aru Ombayi 253, Aru Ofoo 195, Kasenyi 186, Mahagi Anzidha 184)"
Nyankunde,20-05-2026,Alertes (20/05) : 9 au total ; 9 vivants; 9 ont fait l'objet d'une enquête; 9 validés ; 9 échantillonnés ; 9 isolé.
Mongbwalu,20-05-2026,"Alertes (20/05) : 9 au total ; 6 vivants, 3 décédés ; 8 ont fait l’objet d’une enquête, 1 n’a pas fait l’objet d’une enquête ; 8 validés, 1 invalidé ; 7 échantillonnés ; 6 isolés."
Bambu,20-05-2026,"Komanda 2 (1 communauté), Bambu 1 (1 décès communautaire), Lolwa 1 ; pour la plupart étudiés et validés."
Aru,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Aungba,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Bambu,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Damas,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Bunia,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective. Mise en place d'un système d'alerte précoce dans le site des déplacés de l'ISP Bunia. Briefing des RECO sur la SBC et suivi de contacts. Résultat : 159 RECO atteints au jour J2."
Gety,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Kilo,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Komanda,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Lita,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Mangala,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Mongbwalu,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Nizi,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Nyankunde,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Rwampara,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Butembo,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Goma,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Oicha,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Kalunguta,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Katwa,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Kyondo,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Beni,30-05-2026,"Réorganisation du pilier et déploiement des épidémiologistes dans les sous-piliers et ZS hotspots. Activités de routine : remontée des alertes, enquêtes, recherche active, listage et suivi des contacts, revue documentaire rétrospective."
Aru,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Aungba,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Bambu,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Bunia,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. Douze (12) alertes se sont heurtées à la résistance de la communauté, empêchant leur vérification. Neuf (9) alertes PPL en cours de vérification."
Damas,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Gety,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Kilo,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Komanda,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Lita,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Logo,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. Zone de santé nouvellement touchée au 31 mai 2026 — 1 nouveau cas confirmé."
Mangala,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Mongbwalu,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Nizi,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. Résistance de la communauté à la liste des contacts et au suivi des cas confirmés."
Nyankunde,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Rwampara,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Beni,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Butembo,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Goma,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Kalunguta,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Katwa,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Kyondo,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Oicha,31-05-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Aru,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. | Briefing des responsables informatiques sur la surveillance à base communautaire (CBS) et la surveillance de la MVE."
Aungba,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Bambu,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. | Briefing des responsables informatiques sur la surveillance à base communautaire (CBS) et la surveillance de la MVE."
Bunia,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. | Briefing des responsables informatiques sur la surveillance à base communautaire (CBS) et la surveillance de la MVE. | Douze (12) alertes se sont heurtées à la résistance de la communauté, empêchant leur vérification. | Enquête sur les cas confirmés à partir du 31 mai 2026."
Damas,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Gety,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Kilo,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Komanda,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Lita,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Logo,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Mambasa,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Mangala,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Mongbwalu,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. | Briefing des responsables informatiques sur la surveillance à base communautaire (CBS) et la surveillance de la MVE."
Nizi,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. | Résistance de la communauté à la liste des contacts et au suivi des cas confirmés. | Enquête approfondie autour des cas confirmés à partir du 31 mai 2026."
Nyankunde,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. | Briefing des responsables informatiques sur la surveillance à base communautaire (CBS) et la surveillance de la MVE."
Rwampara,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. | Briefing des responsables informatiques sur la surveillance à base communautaire (CBS) et la surveillance de la MVE."
Beni,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Butembo,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Goma,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Kalunguta,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Katwa,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Kyondo,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Oicha,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Miti-Murhesa,01-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Rwampara,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. | 7 nouveaux cas confirmés notifiés le 2 juin 2026. | 32 contacts ont complété avec succès leur suivi de 21 jours."
Bunia,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. | 5 nouveaux cas confirmés notifiés le 2 juin 2026. | Agression contre une équipe SDB au cimetière de Bunia : 5 intervenants blessés."
Nyankunde,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. | 3 nouveaux cas confirmés notifiés le 02 juin 2026."
Rimba,02-06-2026,Zone de santé nouvellement touchée (Ituri). 3 nouveaux cas confirmés notifiés le 02 juin 2026. Ce qui porte à 17 le nombre de zones de santé touchées dans la province de l'Ituri.
Damas,02-06-2026,Poursuite des activités de surveillance de routine. | 1 nouveau cas confirmé notifié le 02 juin 2026.
Aru,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Aungba,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Bambu,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Gety,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Kilo,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Komanda,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Lita,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Logo,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Mambasa,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Mangala,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Mongbwalu,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès. | Mission conjointe (DG INSP, OMS IM, UNICEF FP, PAM) — évaluation des activités de réponse à la MVE et engagement auprès des autorités politico-administratives et des dirigeants communautaires sur leurs rôles en matière de prévention, de détection précoce des cas et de mesures barrières."
Nizi,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Beni,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Butembo,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Goma,02-06-2026,Poursuite des activités de surveillance de routine. | Préparation en cours pour la sortie du premier patient rétabli — prévue pour le 3 juin 2026.
Kalunguta,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Katwa,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Kyondo,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Oicha,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Miti-Murhesa,02-06-2026,"Poursuite des activités de surveillance de routine : notification d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès."
Bunia,03-06-2026,"Cas cumulés confirmés : 97 | Décès : 9 | Létalité : 9,3%. Nouveaux cas : 12. Découverte de 2 corps dans le quartier Salongo en attente d'EDS."
Rwampara,03-06-2026,"Cas cumulés confirmés : 76 | Décès : 16 | CFR : 21,1%. Nouveaux cas : 4. Alertes émises : 166* | Enquête (24h) : 88* | Taux d'enquête : 62%* | Alertes validées : 141. *Données partielles pour l'Ituri : 154 nouvelles alertes sur 166 ; enquête en cours pour les alertes signalées la veille. Nouveaux contacts répertoriés : Rwampara 93, Bunia 55, Nyankunde 45, Komanda 28, Aungba 11 (total 232 nouveaux contacts). Contacts suivis : 3 837 (2 032 vus en 24h, taux 53,0%). Évasion de 2 cas confirmés et de 17 suspects en Ituri."
Mongbwalu,03-06-2026,"Cas cumulés confirmés : 47 | Décès : 10 | Létalité : 21,3%. Nouveaux cas : 0."
Nyankunde,03-06-2026,"Cas cumulés confirmés : 22 | Décès : 1 | CFR : 4,5%. Nouveaux cas : 0. Nouveaux contacts : 45."
Damas,03-06-2026,"Cas cumulés confirmés : 3 | Décès : 0 | CFR : 0,0 %. Nouveaux cas : 1."
Lita,03-06-2026,"Cas cumulés confirmés : 2 | Décès : 0 | CFR : 0,0 %. Nouveaux cas : 1. 94 cas supplémentaires en attente de répartition dans les autres zones de santé de l'Ituri."
Katwa,03-06-2026,"Cas cumulés confirmés : 7 | Décès : 5 | Létalité : 71,4%."
Beni,03-06-2026,"Cas cumulés confirmés : 5 | Décès : 3 | CFR : 60,0%."
Butembo,03-06-2026,"Cas cumulés confirmés : 2 | Décès : 2 | CFR : 100,0 %."
Oicha,03-06-2026,"Cas cumulés confirmés : 2 | Décès : 2 | CFR : 100,0 %. Les activités de réponse ont été paralysées en raison des manifestations populaires et du massacre d'env. 24 civils à Mbau, attribués à des ADF présumés."
Goma,03-06-2026,"Cas cumulés confirmés : 1 | Décès : 0 | CFR : 0,0 %. Sortie officielle du premier patient rétabli.Alertes levées : 237 | Enquête (24h): 216 | Taux d'enquête : 91% | Validé : 45. Contacts sous suivi : 533 (343 vus en 24h, taux 64,4%). Disparités : Goma, Nyiragongo, Oicha à 100% ; Kalunguta à 0%. Nouveaux cas : 0."
Miti-Murhesa,03-06-2026,"Cas cumulés confirmés : 3 | Décès : 1 | Létalité : 33,3%. 1 cas confirmé éludé du CTE Lwiro. Alertes déclenchées : 6 | Enquête (24h) : 6 | Taux d'enquête : 100% | Validé : 0. Contacts sous suivi : 181 (150 vus en 24h, taux 82,9%). Nouveaux cas : 0."
Bunia,04-06-2026,"Alertes : 146 levées, 133 enquêtées (91,1%), 104 validées. Recherche des contacts : 3 997 contacts suivis, 2 181 observés (54,6 %) — performances faibles et persistantes, similaires aux 24 heures précédentes. Activités de routine : reporting d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen documentaire rétrospectif des cas et des décès. Enquêtes approfondies menées autour des cas confirmés dans les ZS touchées : Bunia, Nyankunde et Rwampara."
Beni,04-06-2026,"Alertes : 236 levées, 215 enquêtées (91,1%), 44 validées. Recherche des contacts : 589 contacts sous suivi, 424 vus (72,0 %) — amélioration par rapport à la veille."
Miti-Murhesa,04-06-2026,"Alertes : 12 levées, 11 enquêtées (91,7%), 5 validées. Contact tracing : 180 contacts suivis, 150 vus (83,3%)."
Bunia,05-06-2026,"Activités de surveillance de routine (signalisation d'alertes, enquêtes, recherche active de cas, liste de contacts et suivi, examen rétrospectif des cas et des dossiers de décès). Enquêtes approfondies autour des cas confirmés dans les zones de santé affectées (Bunia, Nyankunde et Rwampara). Alertes : 97 déclenchées, 97 enquêtées (100%), 72 validées (74,2%). Recherche des contacts : 4 281 contacts suivis, 2 701 vus (63,1 %) — amélioration par rapport à la veille (54,6 %)."
Beni,05-06-2026,"Alertes : 340 levées, 340 enquêtées (100%), 40 validées (11,8%). Recherche des contacts : 689 contacts sous suivi, 578 vus (83,9 %) — amélioration par rapport à la veille (72,0 %)."
Miti-Murhesa,05-06-2026,"Alertes : 8 levées, 8 enquêtées (100 %), 7 validées (87,5 %). Recherche des contacts : 187 contacts suivis, 184 vus (98,4%)."
Mongbwalu,05-06-2026,"Déploiement d'un superviseur national PoE/PoC dans la ZS de Mongbwalu. Activation du PoC de Pont Shari. Indicateurs : 12/55 PoC activés (21,8 %) ; 22 547 voyageurs passés, 98,2% dépistés (2,0% de refus), 97,4% lavage des mains (2,6% de refus), 98,4% sensibilisés ; 3 alertes notifiées, 2 instruites (66,6%), 1 validée, 1 transférée à CT/ETC ou pour SDB."
Rwampara,06-06-2026,"Alertes : 134 déclenchées, 111 enquêtées (82,8 % — taux le plus bas), 86 validées. Recherche des contacts : 4 118 contacts suivis, 1 779 vus (43,2 %). Enquêtes approfondies menées autour des cas confirmés dans la zona touchée. 210 contacts ont terminé leur suivi de 21 jours et ont été libérés (Bunia 110, Rwampara 100)."
Bunia,07-06-2026,Appui au briefing de 23 infirmiers en chef de la ZS de Bunia sur l'importance de la liste des contacts et du suivi via l'outil DHIS2.
Rwampara,09-06-2026,215 nouveaux contacts répertoriés. 25 contacts ont complété leur suivi de 21 jours.
Bunia,09-06-2026,154 nouveaux contacts répertoriés.
Mongbwalu,09-06-2026,70 nouveaux contacts répertoriés.
Nyankunde,09-06-2026,381 contacts ont complété leur suivi de 21 jours.
Lita,11-06-2026,115 nouveaux contacts répertoriés.
