nom,date,cumulative_confirmed_cases,nom_clean,new_cases,rt_proxy,cumulative_confirmed_deaths,days_since_first_case,rolling_7d_new_cases,days_since_last_case,population_density,population_density_was_missing,label_next_7d_onset,has_full_future_window
Goma,2026-05-22,1.0,Goma,0.0,,0.0,4,0.0,4.0,8413.39578071933,0,0,True
Nizi,2026-05-22,2.0,Nizi,1.0,,0.0,1,1.0,1.0,671.566862038288,0,0,True
Butembo,2026-05-22,2.0,Butembo,0.0,,0.0,4,1.0,1.0,3648.62216219997,0,1,True
Mongbwalu,2026-05-22,10.0,Mongbwalu,0.0,,0.0,8,14.0,1.0,49.26880991961,0,1,True
Nyankunde,2026-05-22,9.0,Nyankunde,0.0,,0.0,4,7.0,1.0,100.872453475923,0,1,True
Rwampara,2026-05-22,32.0,Rwampara,1.0,,2.0,7,20.0,1.0,378.392262151519,0,1,True
Aru,2026-05-22,1.0,Aru,0.0,,,0,0.0,0.0,339.239633491485,0,1,True
Katwa,2026-05-22,0.0,Katwa,0.0,,0.0,4,0.0,4.0,7809.37779884317,0,1,True
Bunia,2026-05-22,23.0,Bunia,8.0,,2.0,7,23.0,1.0,4336.1457340514,0,1,True
Bambu,2026-05-22,1.0,Bambu,0.0,,0.0,2,0.0,2.0,293.755113499808,0,1,True
Kilo,2026-05-22,1.0,Kilo,0.0,,0.0,1,0.0,1.0,107.546199583958,0,1,True
Miti Murhesa,2026-05-22,1.0,Miti Murhesa,0.0,,0.0,1,0.0,1.0,722.651452069188,0,1,True
Bambu,2026-05-23,0.0,Bambu,0.0,,0.0,3,0.0,3.0,293.755113499808,0,1,True
Mongbwalu,2026-05-23,19.0,Mongbwalu,9.0,,0.0,9,23.0,2.0,49.26880991961,0,1,True
Aru,2026-05-23,1.0,Aru,0.0,,,1,0.0,1.0,339.239633491485,0,1,True
Miti Murhesa,2026-05-23,1.0,Miti Murhesa,0.0,,0.0,2,0.0,2.0,722.651452069188,0,1,True
Rwampara,2026-05-23,32.0,Rwampara,0.0,,2.0,8,20.0,1.0,378.392262151519,0,1,True
Nizi,2026-05-23,2.0,Nizi,0.0,,0.0,2,1.0,1.0,671.566862038288,0,0,True
Bunia,2026-05-23,24.0,Bunia,1.0,,2.0,8,24.0,1.0,4336.1457340514,0,1,True
Butembo,2026-05-23,1.0,Butembo,0.0,,0.0,5,1.0,2.0,3648.62216219997,0,1,True
Kilo,2026-05-23,1.0,Kilo,0.0,,0.0,2,0.0,2.0,107.546199583958,0,1,True
Nyankunde,2026-05-23,9.0,Nyankunde,0.0,,0.0,5,7.0,2.0,100.872453475923,0,1,True
Goma,2026-05-23,1.0,Goma,0.0,,0.0,5,0.0,5.0,8413.39578071933,0,0,True
Katwa,2026-05-23,4.0,Katwa,4.0,,0.0,5,4.0,5.0,7809.37779884317,0,0,True
Katwa,2026-05-24,4.0,Katwa,0.0,,0.0,6,4.0,1.0,7809.37779884317,0,0,True
Kilo,2026-05-24,1.0,Kilo,0.0,,0.0,3,0.0,3.0,107.546199583958,0,1,True
Bunia,2026-05-24,24.0,Bunia,0.0,,2.0,9,24.0,1.0,4336.1457340514,0,1,True
Nizi,2026-05-24,2.0,Nizi,0.0,,0.0,3,1.0,2.0,671.566862038288,0,0,True
Butembo,2026-05-24,3.0,Butembo,2.0,,0.0,6,3.0,3.0,3648.62216219997,0,1,True
Oicha,2026-05-24,1.0,Oicha,0.0,,,0,0.0,0.0,217.407676331775,0,1,True
Mongbwalu,2026-05-24,19.0,Mongbwalu,0.0,,0.0,10,23.0,1.0,49.26880991961,0,1,True
Goma,2026-05-24,1.0,Goma,0.0,,0.0,6,0.0,6.0,8413.39578071933,0,0,True
Kalunguta,2026-05-24,1.0,Kalunguta,0.0,,,0,0.0,0.0,217.291453102909,0,1,True
Rwampara,2026-05-24,32.0,Rwampara,0.0,,2.0,9,20.0,2.0,378.392262151519,0,1,True
Miti Murhesa,2026-05-24,1.0,Miti Murhesa,0.0,,0.0,3,0.0,3.0,722.651452069188,0,1,True
Aru,2026-05-24,1.0,Aru,0.0,,,2,0.0,2.0,339.239633491485,0,1,True
Nyankunde,2026-05-24,9.0,Nyankunde,0.0,,0.0,6,7.0,3.0,100.872453475923,0,1,True
Bambu,2026-05-24,2.0,Bambu,2.0,,0.0,4,2.0,4.0,293.755113499808,0,1,True
Nizi,2026-05-25,2.0,Nizi,0.0,,,4,1.0,3.0,671.566862038288,0,0,True
Bambu,2026-05-25,0.0,Bambu,0.0,,,5,2.0,1.0,293.755113499808,0,1,True
Kilo,2026-05-25,1.0,Kilo,0.0,,0.0,4,0.0,4.0,107.546199583958,0,1,True
Mongbwalu,2026-05-25,19.0,Mongbwalu,0.0,22.0,0.0,11,22.0,2.0,49.26880991961,0,1,True
Butembo,2026-05-25,3.0,Butembo,0.0,,,7,3.0,1.0,3648.62216219997,0,1,True
Kyondo,2026-05-25,1.0,Kyondo,0.0,,,0,0.0,0.0,287.209696136707,0,0,True
Goma,2026-05-25,1.0,Goma,0.0,,0.0,7,0.0,7.0,8413.39578071933,0,0,True
Kalunguta,2026-05-25,1.0,Kalunguta,0.0,,,1,0.0,1.0,217.291453102909,0,1,True
Rwampara,2026-05-25,32.0,Rwampara,0.0,2.333333333333333,2.0,10,14.0,3.0,378.392262151519,0,1,True
Miti Murhesa,2026-05-25,1.0,Miti Murhesa,0.0,,0.0,4,0.0,4.0,722.651452069188,0,1,True
Oicha,2026-05-25,1.0,Oicha,0.0,,,1,0.0,1.0,217.407676331775,0,1,True
Bunia,2026-05-25,24.0,Bunia,0.0,3.0,2.0,10,18.0,2.0,4336.1457340514,0,1,True
Katwa,2026-05-25,4.0,Katwa,0.0,,,7,4.0,2.0,7809.37779884317,0,1,True
Nyankunde,2026-05-25,9.0,Nyankunde,0.0,,0.0,7,7.0,4.0,100.872453475923,0,1,True
Aru,2026-05-25,1.0,Aru,0.0,,,3,0.0,3.0,339.239633491485,0,1,True
Fataki,2026-05-26,0.0,Fataki,0.0,,,0,0.0,0.0,374.843916988277,0,0,True
Mongbwalu,2026-05-26,20.0,Mongbwalu,1.0,0.8461538461538461,0.0,12,11.0,3.0,49.26880991961,0,1,True
Aru,2026-05-26,1.0,Aru,0.0,,,4,0.0,4.0,339.239633491485,0,1,True
Miti Murhesa,2026-05-26,1.0,Miti Murhesa,0.0,,0.0,5,0.0,5.0,722.651452069188,0,1,True
Bambu,2026-05-26,0.0,Bambu,0.0,,0.0,6,2.0,2.0,293.755113499808,0,1,True
Oicha,2026-05-26,1.0,Oicha,0.0,,,2,0.0,2.0,217.407676331775,0,1,True
Mambasa,2026-05-26,0.0,Mambasa,0.0,,,0,0.0,0.0,9.38305119840287,0,1,True
Rimba,2026-05-26,0.0,Rimba,0.0,,,0,0.0,0.0,475.541098374732,0,1,True
Bunia,2026-05-26,36.0,Bunia,12.0,5.0,2.0,11,30.0,3.0,4336.1457340514,0,1,True
Butembo,2026-05-26,3.0,Butembo,0.0,,0.0,8,3.0,2.0,3648.62216219997,0,1,True
Nizi,2026-05-26,2.0,Nizi,0.0,,0.0,5,1.0,4.0,671.566862038288,0,0,True
Kilo,2026-05-26,1.0,Kilo,0.0,,0.0,5,0.0,5.0,107.546199583958,0,1,True
Rwampara,2026-05-26,33.0,Rwampara,1.0,0.75,2.0,11,9.0,4.0,378.392262151519,0,1,True
Kyondo,2026-05-26,1.0,Kyondo,0.0,,,1,0.0,1.0,287.209696136707,0,0,True
Nyankunde,2026-05-26,10.0,Nyankunde,1.0,,0.0,8,8.0,5.0,100.872453475923,0,1,True
Damas,2026-05-26,0.0,Damas,0.0,,,0,0.0,0.0,53.1851080273012,0,1,True
Kalunguta,2026-05-26,1.0,Kalunguta,0.0,,,2,0.0,2.0,217.291453102909,0,1,True
Goma,2026-05-26,1.0,Goma,0.0,,0.0,8,0.0,8.0,8413.39578071933,0,0,True
Rimba,2026-05-27,0.0,Rimba,0.0,,,1,0.0,1.0,475.541098374732,0,1,True
Mambasa,2026-05-27,0.0,Mambasa,0.0,,,1,0.0,1.0,9.38305119840287,0,1,True
Kalunguta,2026-05-27,2.0,Kalunguta,1.0,,,3,1.0,3.0,217.291453102909,0,0,True
Rwampara,2026-05-27,33.0,Rwampara,0.0,0.75,2.0,12,9.0,1.0,378.392262151519,0,1,True
Goma,2026-05-27,1.0,Goma,0.0,,0.0,9,0.0,9.0,8413.39578071933,0,0,True
Bambu,2026-05-27,0.0,Bambu,0.0,,0.0,7,2.0,3.0,293.755113499808,0,1,True
Bunia,2026-05-27,37.0,Bunia,1.0,2.363636363636364,2.0,12,26.0,1.0,4336.1457340514,0,1,True
Fataki,2026-05-27,0.0,Fataki,0.0,,,1,0.0,1.0,374.843916988277,0,0,True
Miti Murhesa,2026-05-27,1.0,Miti Murhesa,0.0,,0.0,6,0.0,6.0,722.651452069188,0,1,True
Mongbwalu,2026-05-27,20.0,Mongbwalu,0.0,0.8461538461538461,0.0,13,11.0,1.0,49.26880991961,0,1,True
Aru,2026-05-27,1.0,Aru,0.0,,,5,0.0,5.0,339.239633491485,0,1,True
Butembo,2026-05-27,5.0,Butembo,2.0,,0.0,9,5.0,3.0,3648.62216219997,0,0,True
Damas,2026-05-27,0.0,Damas,0.0,,,1,0.0,1.0,53.1851080273012,0,1,True
Nizi,2026-05-27,2.0,Nizi,0.0,,0.0,6,1.0,5.0,671.566862038288,0,0,True
Nyankunde,2026-05-27,10.0,Nyankunde,0.0,7.0,0.0,9,7.0,1.0,100.872453475923,0,1,True
Kilo,2026-05-27,1.0,Kilo,0.0,,0.0,6,0.0,6.0,107.546199583958,0,1,True
Katwa,2026-05-27,4.0,Katwa,0.0,,0.0,9,4.0,4.0,7809.37779884317,0,1,True
Oicha,2026-05-27,2.0,Oicha,1.0,,,3,1.0,3.0,217.407676331775,0,1,True
Miti Murhesa,2026-05-28,3.0,Miti Murhesa,2.0,,1.0,7,2.0,7.0,722.651452069188,0,0,True
Gety,2026-05-28,1.0,Gety,0.0,,0.0,0,0.0,0.0,86.0299313935469,0,0,True
Aru,2026-05-28,2.0,Aru,1.0,,1.0,6,1.0,6.0,339.239633491485,0,1,True
Beni,2026-05-28,2.0,Beni,0.0,,0.0,0,0.0,0.0,583.694814150159,0,1,True
Rwampara,2026-05-28,65.0,Rwampara,32.0,1.7894736842105263,13.0,13,34.0,2.0,378.392262151519,0,1,True
Oicha,2026-05-28,1.0,Oicha,0.0,,0.0,4,1.0,1.0,217.407676331775,0,1,True
Mangala,2026-05-28,1.0,Mangala,0.0,,0.0,0,0.0,0.0,162.268440527417,0,0,True
Aungba,2026-05-28,1.0,Aungba,0.0,,0.0,0,0.0,0.0,171.063075277196,0,0,True
Kalunguta,2026-05-28,1.0,Kalunguta,0.0,,1.0,4,1.0,1.0,217.291453102909,0,0,True
Lita,2026-05-28,1.0,Lita,0.0,,0.0,0,0.0,0.0,228.628253664484,0,1,True
Kyondo,2026-05-28,1.0,Kyondo,0.0,,0.0,3,0.0,3.0,287.209696136707,0,0,True
Komanda,2026-05-28,1.0,Komanda,0.0,,1.0,0,0.0,0.0,69.5013595444792,0,1,True
Damas,2026-05-28,1.0,Damas,1.0,,0.0,2,1.0,2.0,53.1851080273012,0,1,True
Butembo,2026-05-28,5.0,Butembo,0.0,4.0,2.0,10,4.0,1.0,3648.62216219997,0,1,True
Kilo,2026-05-28,2.0,Kilo,1.0,,0.0,7,1.0,7.0,107.546199583958,0,1,True
Katwa,2026-05-28,4.0,Katwa,0.0,,3.0,10,4.0,5.0,7809.37779884317,0,1,True
Goma,2026-05-28,1.0,Goma,0.0,,0.0,10,0.0,10.0,8413.39578071933,0,0,True
Mongbwalu,2026-05-28,47.0,Mongbwalu,27.0,2.642857142857143,10.0,14,37.0,2.0,49.26880991961,0,1,True
Bunia,2026-05-28,80.0,Bunia,43.0,4.333333333333333,8.0,13,65.0,1.0,4336.1457340514,0,1,True
Nyankunde,2026-05-28,19.0,Nyankunde,9.0,1.4285714285714286,1.0,10,10.0,2.0,100.872453475923,0,1,True
Nizi,2026-05-28,2.0,Nizi,0.0,,0.0,7,1.0,6.0,671.566862038288,0,1,True
Bambu,2026-05-28,2.0,Bambu,2.0,,2.0,8,4.0,4.0,293.755113499808,0,1,True
Lita,2026-05-29,1.0,Lita,0.0,,0.0,1,0.0,1.0,228.628253664484,0,1,True
Goma,2026-05-29,1.0,Goma,0.0,,0.0,11,0.0,11.0,8413.39578071933,0,0,True
Komanda,2026-05-29,1.0,Komanda,0.0,,0.0,1,0.0,1.0,69.5013595444792,0,1,True
Bambu,2026-05-29,2.0,Bambu,0.0,,2.0,9,4.0,1.0,293.755113499808,0,1,True
Aru,2026-05-29,2.0,Aru,0.0,,1.0,7,1.0,1.0,339.239633491485,0,1,True
Katwa,2026-05-29,4.0,Katwa,0.0,,3.0,11,4.0,6.0,7809.37779884317,0,1,True
Bunia,2026-05-29,80.0,Bunia,0.0,2.4782608695652173,8.0,14,57.0,1.0,4336.1457340514,0,1,True
Rwampara,2026-05-29,65.0,Rwampara,0.0,1.65,13.0,14,33.0,1.0,378.392262151519,0,1,True
Beni,2026-05-29,2.0,Beni,0.0,,0.0,1,0.0,1.0,583.694814150159,0,1,True
Damas,2026-05-29,1.0,Damas,0.0,,0.0,3,1.0,1.0,53.1851080273012,0,1,True
Kyondo,2026-05-29,1.0,Kyondo,0.0,,0.0,4,0.0,4.0,287.209696136707,0,0,True
Mangala,2026-05-29,1.0,Mangala,0.0,,0.0,1,0.0,1.0,162.268440527417,0,0,True
Kalunguta,2026-05-29,1.0,Kalunguta,0.0,,1.0,5,1.0,2.0,217.291453102909,0,0,True
Nyankunde,2026-05-29,19.0,Nyankunde,0.0,1.4285714285714286,1.0,11,10.0,1.0,100.872453475923,0,1,True
Nizi,2026-05-29,2.0,Nizi,0.0,0.0,0.0,8,0.0,7.0,671.566862038288,0,1,True
Miti Murhesa,2026-05-29,3.0,Miti Murhesa,0.0,,1.0,8,2.0,1.0,722.651452069188,0,1,True
Oicha,2026-05-29,1.0,Oicha,0.0,,0.0,5,1.0,2.0,217.407676331775,0,1,True
Aungba,2026-05-29,1.0,Aungba,0.0,,0.0,1,0.0,1.0,171.063075277196,0,0,True
Gety,2026-05-29,1.0,Gety,0.0,,0.0,1,0.0,1.0,86.0299313935469,0,0,True
Butembo,2026-05-29,5.0,Butembo,0.0,4.0,2.0,11,4.0,2.0,3648.62216219997,0,1,True
Kilo,2026-05-29,2.0,Kilo,0.0,,0.0,8,1.0,1.0,107.546199583958,0,1,True
Mongbwalu,2026-05-29,47.0,Mongbwalu,0.0,2.642857142857143,10.0,15,37.0,1.0,49.26880991961,0,1,True
Mongbwalu,2026-05-30,47.0,Mongbwalu,0.0,1.2173913043478262,10.0,16,28.0,2.0,49.26880991961,0,1,True
Bunia,2026-05-30,80.0,Bunia,0.0,2.333333333333333,8.0,15,56.0,2.0,4336.1457340514,0,1,True
Rwampara,2026-05-30,65.0,Rwampara,0.0,1.65,13.0,15,33.0,2.0,378.392262151519,0,1,True
Beni,2026-05-30,2.0,Beni,0.0,,0.0,2,0.0,2.0,583.694814150159,0,1,True
Kyondo,2026-05-30,1.0,Kyondo,0.0,,0.0,5,0.0,5.0,287.209696136707,0,0,True
Butembo,2026-05-30,5.0,Butembo,0.0,4.0,2.0,12,4.0,3.0,3648.62216219997,0,1,True
Gety,2026-05-30,1.0,Gety,0.0,,0.0,2,0.0,2.0,86.0299313935469,0,0,True
Kalunguta,2026-05-30,1.0,Kalunguta,0.0,,1.0,6,1.0,3.0,217.291453102909,0,0,True
Mangala,2026-05-30,1.0,Mangala,0.0,,0.0,2,0.0,2.0,162.268440527417,0,0,True
Damas,2026-05-30,1.0,Damas,0.0,,0.0,4,1.0,2.0,53.1851080273012,0,1,True
Katwa,2026-05-30,4.0,Katwa,0.0,,3.0,12,4.0,7.0,7809.37779884317,0,1,True
Kilo,2026-05-30,2.0,Kilo,0.0,,0.0,9,1.0,2.0,107.546199583958,0,1,True
Aungba,2026-05-30,1.0,Aungba,0.0,,0.0,2,0.0,2.0,171.063075277196,0,0,True
Bambu,2026-05-30,2.0,Bambu,0.0,,2.0,10,4.0,2.0,293.755113499808,0,1,True
Oicha,2026-05-30,1.0,Oicha,0.0,,0.0,6,1.0,3.0,217.407676331775,0,1,True
Miti Murhesa,2026-05-30,3.0,Miti Murhesa,0.0,,1.0,9,2.0,2.0,722.651452069188,0,1,True
Komanda,2026-05-30,1.0,Komanda,0.0,,0.0,2,0.0,2.0,69.5013595444792,0,1,True
Nyankunde,2026-05-30,19.0,Nyankunde,0.0,1.4285714285714286,1.0,12,10.0,2.0,100.872453475923,0,1,True
Nizi,2026-05-30,2.0,Nizi,0.0,0.0,0.0,9,0.0,8.0,671.566862038288,0,1,True
Aru,2026-05-30,2.0,Aru,0.0,,1.0,8,1.0,2.0,339.239633491485,0,1,True
Lita,2026-05-30,1.0,Lita,0.0,,0.0,2,0.0,2.0,228.628253664484,0,1,True
Goma,2026-05-30,1.0,Goma,0.0,,0.0,12,0.0,12.0,8413.39578071933,0,0,True
Komanda,2026-06-01,1.0,Komanda,0.0,,0.0,4,0.0,4.0,69.5013595444792,0,1,True
Rwampara,2026-06-01,65.0,Rwampara,0.0,1.65,13.0,17,33.0,4.0,378.392262151519,0,1,True
Mangala,2026-06-01,1.0,Mangala,0.0,,0.0,4,0.0,4.0,162.268440527417,0,0,True
Kilo,2026-06-01,2.0,Kilo,0.0,,0.0,11,1.0,4.0,107.546199583958,0,1,True
Katwa,2026-06-01,7.0,Katwa,3.0,0.75,5.0,14,3.0,9.0,7809.37779884317,0,1,True
Damas,2026-06-01,1.0,Damas,0.0,,0.0,6,1.0,4.0,53.1851080273012,0,1,True
Mambasa,2026-06-01,2.0,Mambasa,2.0,,1.0,6,2.0,6.0,9.38305119840287,0,0,True
Logo,2026-06-01,1.0,Logo,0.0,,0.0,0,0.0,0.0,557.063799173426,0,1,True
Aungba,2026-06-01,1.0,Aungba,0.0,,0.0,4,0.0,4.0,171.063075277196,0,1,True
Butembo,2026-06-01,2.0,Butembo,0.0,0.6666666666666666,2.0,14,2.0,5.0,3648.62216219997,0,1,True
Nizi,2026-06-01,2.0,Nizi,0.0,0.0,0.0,11,0.0,10.0,671.566862038288,0,1,True
Bunia,2026-06-01,80.0,Bunia,0.0,2.333333333333333,8.0,17,56.0,4.0,4336.1457340514,0,1,True
Oicha,2026-06-01,2.0,Oicha,1.0,,2.0,8,2.0,5.0,217.407676331775,0,0,True
Aru,2026-06-01,2.0,Aru,0.0,,1.0,10,1.0,4.0,339.239633491485,0,1,True
Beni,2026-06-01,5.0,Beni,3.0,,3.0,4,3.0,4.0,583.694814150159,0,1,True
Miti Murhesa,2026-06-01,3.0,Miti Murhesa,0.0,,1.0,11,2.0,4.0,722.651452069188,0,1,True
Kyondo,2026-06-01,1.0,Kyondo,0.0,,0.0,7,0.0,7.0,287.209696136707,0,0,True
Nyankunde,2026-06-01,19.0,Nyankunde,0.0,1.4285714285714286,1.0,14,10.0,4.0,100.872453475923,0,1,True
Kalunguta,2026-06-01,1.0,Kalunguta,0.0,,1.0,8,1.0,5.0,217.291453102909,0,0,True
Lita,2026-06-01,1.0,Lita,0.0,,0.0,4,0.0,4.0,228.628253664484,0,1,True
Bambu,2026-06-01,2.0,Bambu,0.0,1.0,2.0,12,2.0,4.0,293.755113499808,0,1,True
Goma,2026-06-01,1.0,Goma,0.0,,0.0,14,0.0,14.0,8413.39578071933,0,0,True
Mongbwalu,2026-06-01,47.0,Mongbwalu,0.0,1.2173913043478262,10.0,18,28.0,4.0,49.26880991961,0,1,True
Gety,2026-06-01,1.0,Gety,0.0,,0.0,4,0.0,4.0,86.0299313935469,0,0,True
Bambu,2026-06-02,2.0,Bambu,0.0,1.0,2.0,13,2.0,5.0,293.755113499808,0,1,True
Gety,2026-06-02,1.0,Gety,0.0,,0.0,5,0.0,5.0,86.0299313935469,0,0,True
Nizi,2026-06-02,2.0,Nizi,0.0,0.0,0.0,12,0.0,11.0,671.566862038288,0,1,True
Butembo,2026-06-02,2.0,Butembo,0.0,0.6666666666666666,2.0,15,2.0,6.0,3648.62216219997,0,1,True
Mongbwalu,2026-06-02,47.0,Mongbwalu,0.0,1.2727272727272727,10.0,19,28.0,5.0,49.26880991961,0,1,True
Logo,2026-06-02,1.0,Logo,0.0,,0.0,1,0.0,1.0,557.063799173426,0,1,True
Rimba,2026-06-02,3.0,Rimba,3.0,,0.0,7,3.0,7.0,475.541098374732,0,0,True
Miti Murhesa,2026-06-02,3.0,Miti Murhesa,0.0,,1.0,12,2.0,5.0,722.651452069188,0,1,True
Mambasa,2026-06-02,2.0,Mambasa,0.0,,1.0,7,2.0,1.0,9.38305119840287,0,0,True
Kyondo,2026-06-02,1.0,Kyondo,0.0,,0.0,8,0.0,8.0,287.209696136707,0,0,True
Katwa,2026-06-02,7.0,Katwa,0.0,0.75,5.0,15,3.0,1.0,7809.37779884317,0,1,True
Aru,2026-06-02,2.0,Aru,0.0,,1.0,11,1.0,5.0,339.239633491485,0,1,True
Kilo,2026-06-02,2.0,Kilo,0.0,,0.0,12,1.0,5.0,107.546199583958,0,1,True
Lita,2026-06-02,1.0,Lita,0.0,,0.0,5,0.0,5.0,228.628253664484,0,1,True
Aungba,2026-06-02,1.0,Aungba,0.0,,0.0,5,0.0,5.0,171.063075277196,0,1,True
Rwampara,2026-06-02,72.0,Rwampara,7.0,2.857142857142857,15.0,18,40.0,5.0,378.392262151519,0,1,True
Nyankunde,2026-06-02,22.0,Nyankunde,3.0,1.8571428571428568,1.0,15,13.0,5.0,100.872453475923,0,1,True
Bunia,2026-06-02,85.0,Bunia,5.0,3.388888888888889,8.0,18,61.0,5.0,4336.1457340514,0,1,True
Kalunguta,2026-06-02,1.0,Kalunguta,0.0,,1.0,9,1.0,6.0,217.291453102909,0,0,True
Goma,2026-06-02,1.0,Goma,0.0,,0.0,15,0.0,15.0,8413.39578071933,0,0,True
Damas,2026-06-02,2.0,Damas,1.0,,0.0,7,2.0,5.0,53.1851080273012,0,1,True
Mangala,2026-06-02,1.0,Mangala,0.0,,0.0,5,0.0,5.0,162.268440527417,0,0,True
Beni,2026-06-02,5.0,Beni,0.0,,3.0,5,3.0,1.0,583.694814150159,0,1,True
Komanda,2026-06-02,1.0,Komanda,0.0,,0.0,5,0.0,5.0,69.5013595444792,0,1,True
Oicha,2026-06-02,2.0,Oicha,0.0,,2.0,9,2.0,1.0,217.407676331775,0,0,True
Mongbwalu,2026-06-03,47.0,Mongbwalu,0.0,2.4545454545454546,10.0,20,27.0,6.0,49.26880991961,0,1,True
Butembo,2026-06-03,2.0,Butembo,0.0,0.6666666666666666,2.0,16,2.0,7.0,3648.62216219997,0,1,True
Kalunguta,2026-06-03,1.0,Kalunguta,0.0,,1.0,10,1.0,7.0,217.291453102909,0,0,True
Gety,2026-06-03,1.0,Gety,0.0,,0.0,6,0.0,6.0,86.0299313935469,0,0,True
Bambu,2026-06-03,2.0,Bambu,0.0,1.0,2.0,14,2.0,6.0,293.755113499808,0,1,True
Kilo,2026-06-03,2.0,Kilo,0.0,,0.0,13,1.0,6.0,107.546199583958,0,1,True
Bunia,2026-06-03,97.0,Bunia,12.0,2.033333333333333,9.0,19,61.0,1.0,4336.1457340514,0,1,True
Rwampara,2026-06-03,76.0,Rwampara,4.0,4.777777777777778,16.0,19,43.0,1.0,378.392262151519,0,1,True
Aru,2026-06-03,2.0,Aru,0.0,,1.0,12,1.0,6.0,339.239633491485,0,1,True
Aungba,2026-06-03,1.0,Aungba,0.0,,0.0,6,0.0,6.0,171.063075277196,0,1,True
