old_nom,new_nom,perfect_match
Uvira,Uvira,1
Vaku,Vaku,1
Vanga,Vanga,1
Vanga Kete,Vanga Kete,1
Vangu,Vangu,1
Viadana,Viadana,1
Vuhovi,Vuhovi,1
Walikale,Walikale,1
Walungu,Walungu,1
Wamba,Wamba,1
Wamba Lwadi,Wamba Lwadi,1
Wangata,Wangata,1
Wanierukula,Wanierukula,1
Wapinda,Wapinda,1
Wasolo,Wasolo,1
Watsa,Watsa,1
Wema,Wema,1
Wembo Nyama,Wembo Nyama,1
Wikong,Wikong,1
Yabaondo,Yabaondo,1
Yahisuli,Yahisuli,1
Yahuma,Yahuma,1
Yakoma,Yakoma,1
Yakusu,Yakusu,1
Yaleko,Yaleko,1
Yalifafo,Yalifafu,0
Yalimbongo,Yalimbongo,1
Yamaluka,Yamaluka,1
Yambuku,Yambuku,1
Yamongili,Yamongili,1
Yangala,Yangala,1
Yasa-Bonga,Yasa Bonga,0
Yumbi,Yumbi,1
Zongo,Zongo,1
