dataset,file,type,status,n_rows,n_zones_covered,reasons,checked_at
healthsites_io,healthsites_io__healthsite_count__static.csv,vector,pass,519,519,,2026-08-12T10:15:18+00:00
healthsites_io,healthsites_io__healthsite_density__static.csv,vector,pass,519,519,,2026-08-12T10:15:18+00:00
insp_sitrep,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__contacts_seen__daily.csv,vector,pass,46,10,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__cumulative_confirmed_cases__daily.csv,vector,pass,2261,54,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__cumulative_confirmed_deaths__daily.csv,vector,pass,2201,53,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__cumulative_contacts_isolated__daily.csv,vector,pass,48,12,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__cumulative_contacts_traced__daily.csv,vector,pass,131,15,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__cumulative_suspected_cases__daily.csv,vector,pass,189,22,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__cumulative_suspected_deaths__daily.csv,vector,pass,187,20,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__hosp_escaped__daily.csv,vector,pass,40,6,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__hospitalised__daily.csv,vector,pass,35,6,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__in_bed_previous_day__daily.csv,vector,pass,35,6,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__national_cumulative_confirmed_cases__daily.csv,vector,pass,74,0,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__national_cumulative_confirmed_deaths__daily.csv,vector,pass,74,0,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__national_cumulative_recovered_cases__daily.csv,vector,pass,63,0,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__national_cumulative_suspected_cases__daily.csv,vector,pass,70,0,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__national_cumulative_suspected_deaths__daily.csv,vector,pass,42,0,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__national_suspected_cases_in_isolation__daily.csv,vector,pass,60,0,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__national_suspected_cases_under_investigation__daily.csv,vector,pass,18,0,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__new_confirmed_cases__daily.csv,vector,pass,212,37,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__new_contacts_isolated__daily.csv,vector,pass,51,12,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__new_contacts_listed__daily.csv,vector,pass,136,20,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__new_hosp_admissions__daily.csv,vector,pass,28,6,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__new_hosp_detainees__daily.csv,vector,pass,40,6,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__new_hosp_other__daily.csv,vector,pass,28,6,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__new_suspected_cases__daily.csv,vector,pass,155,27,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__new_suspected_deaths__daily.csv,vector,pass,155,27,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__total_poe_hand_washing__daily.csv,vector,pass,28,8,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__total_poe_passed__daily.csv,vector,pass,28,8,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__total_poe_refused_hand_washing__daily.csv,vector,pass,28,8,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__total_poe_refused_screening__daily.csv,vector,pass,28,8,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__total_poe_sanitised__daily.csv,vector,pass,28,8,,2026-08-12T10:15:18+00:00
insp_sitrep,insp_sitrep__total_poe_screened__daily.csv,vector,pass,28,8,,2026-08-12T10:15:18+00:00
osrm,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
osrm,osrm__road_distance__static.matrix.csv,matrix,warn,519,519,2070 missing cells (empty/NA) (warn),2026-08-12T10:15:18+00:00
osrm,osrm__travel_time__static.matrix.csv,matrix,warn,519,519,2070 missing cells (empty/NA) (warn),2026-08-12T10:15:18+00:00
public_health_response,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_community_engagement_en__daily.csv,vector,pass,30,15,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_community_engagement_fr__daily.csv,vector,pass,30,15,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_coordination_en__daily.csv,vector,pass,37,21,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_coordination_fr__daily.csv,vector,pass,36,21,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_infection_prevention_controle_en__daily.csv,vector,pass,99,20,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_infection_prevention_controle_fr__daily.csv,vector,pass,93,20,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_laboratory_en__daily.csv,vector,pass,21,10,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_laboratory_fr__daily.csv,vector,pass,21,10,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_logistics_en__daily.csv,vector,pass,61,25,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_logistics_fr__daily.csv,vector,pass,58,25,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_management_en__daily.csv,vector,pass,97,26,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_management_fr__daily.csv,vector,pass,97,26,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_monitoring_en__daily.csv,vector,pass,138,26,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_monitoring_fr__daily.csv,vector,pass,137,26,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_protection_sexual_exploitation_abuse_en__daily.csv,vector,pass,36,19,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_protection_sexual_exploitation_abuse_fr__daily.csv,vector,pass,36,19,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_security_en__daily.csv,vector,pass,57,14,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__epidemiological_security_fr__daily.csv,vector,pass,56,14,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_community_engagement_en__daily.csv,vector,pass,22,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_community_engagement_fr__daily.csv,vector,pass,22,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_coordination_en__daily.csv,vector,pass,39,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_coordination_fr__daily.csv,vector,pass,39,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_infection_prevention_controle_en__daily.csv,vector,pass,20,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_infection_prevention_controle_fr__daily.csv,vector,pass,20,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_laboratory_en__daily.csv,vector,pass,20,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_laboratory_fr__daily.csv,vector,pass,20,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_logistics_en__daily.csv,vector,pass,22,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_logistics_fr__daily.csv,vector,pass,22,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_management_en__daily.csv,vector,pass,23,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_management_fr__daily.csv,vector,pass,23,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_monitoring_en__daily.csv,vector,pass,29,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_monitoring_fr__daily.csv,vector,pass,20,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_protection_sexual_exploitation_abuse_en__daily.csv,vector,pass,19,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_protection_sexual_exploitation_abuse_fr__daily.csv,vector,pass,19,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_security_en__daily.csv,vector,pass,24,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__national_epidemiological_security_fr__daily.csv,vector,pass,24,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_community_engagement_en__daily.csv,vector,pass,63,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_community_engagement_fr__daily.csv,vector,pass,62,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_coordination_en__daily.csv,vector,pass,20,1,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_coordination_fr__daily.csv,vector,pass,20,1,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_infection_prevention_controle_en__daily.csv,vector,pass,54,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_infection_prevention_controle_fr__daily.csv,vector,pass,53,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_laboratory_en__daily.csv,vector,pass,74,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_laboratory_fr__daily.csv,vector,pass,73,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_logistics_en__daily.csv,vector,pass,32,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_logistics_fr__daily.csv,vector,pass,32,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_management_en__daily.csv,vector,pass,71,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_management_fr__daily.csv,vector,pass,68,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_monitoring_en__daily.csv,vector,pass,71,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_monitoring_fr__daily.csv,vector,pass,75,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_protection_sexual_exploitation_abuse_en__daily.csv,vector,pass,24,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_protection_sexual_exploitation_abuse_fr__daily.csv,vector,pass,23,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_security_en__daily.csv,vector,pass,7,0,,2026-08-12T10:15:18+00:00
public_health_response,public_health_response__provincial_epidemiological_security_fr__daily.csv,vector,pass,7,0,,2026-08-12T10:15:18+00:00
refugee_sites,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
refugee_sites,refugee_sites__sites__static.csv,vector,pass,23,23,,2026-08-12T10:15:18+00:00
testing_capacity,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
testing_capacity,testing_capacity__pcr_machines__static.csv,vector,pass,19,19,,2026-08-12T10:15:18+00:00
testing_capacity,testing_capacity__pcr_tests__static.csv,vector,pass,19,19,,2026-08-12T10:15:18+00:00
worldpop,metadata.yaml,metadata,pass,,,,2026-08-12T10:15:18+00:00
worldpop,worldpop__pop_count__static.csv,vector,pass,519,519,,2026-08-12T10:15:18+00:00
worldpop,worldpop__pop_density__static.csv,vector,pass,519,519,,2026-08-12T10:15:18+00:00
