nom,date,cumulative_confirmed_cases
Fataki,2026-05-26,0
Mambasa,2026-05-26,0
Rimba,2026-05-26,0
Kyondo,2026-05-26,1
Mongbwalu,2026-05-27,20
Rwampara,2026-05-27,33
Bunia,2026-05-27,37
Nyankunde,2026-05-27,10
Goma,2026-05-27,1
Katwa,2026-05-27,4
Butembo,2026-05-27,5
Bambu,2026-05-27,0
Nizi,2026-05-27,2
Kilo,2026-05-27,1
Miti Murhesa,2026-05-27,1
Aru,2026-05-27,1
Oicha,2026-05-27,2
Kalunguta,2026-05-27,2
Karisimbi,2026-05-27,0
Damas,2026-05-27,0
Fataki,2026-05-27,0
Mambasa,2026-05-27,0
Rimba,2026-05-27,0
Kyondo,2026-05-27,ND
Aru,2026-05-28,2
Bambu,2026-05-28,2
Bunia,2026-05-28,80
Kilo,2026-05-28,2
Mongbwalu,2026-05-28,47
Nizi,2026-05-28,2
Nyankunde,2026-05-28,19
Rwampara,2026-05-28,65
Mangala,2026-05-28,1
Damas,2026-05-28,1
Aungba,2026-05-28,1
Gety,2026-05-28,1
Komanda,2026-05-28,1
Jiba,2026-05-28,ND
Lita,2026-05-28,1
Butembo,2026-05-28,5
Goma,2026-05-28,1
Katwa,2026-05-28,4
Karisimbi,2026-05-28,0
Kyondo,2026-05-28,1
Oicha,2026-05-28,1
Kalunguta,2026-05-28,1
Beni,2026-05-28,2
Miti Murhesa,2026-05-28,3
Aru,2026-05-29,2
Bambu,2026-05-29,2
Bunia,2026-05-29,80
Kilo,2026-05-29,2
Mongbwalu,2026-05-29,47
Nizi,2026-05-29,2
Nyankunde,2026-05-29,19
Rwampara,2026-05-29,65
Mangala,2026-05-29,1
Damas,2026-05-29,1
Aungba,2026-05-29,1
Gety,2026-05-29,1
Komanda,2026-05-29,1
Jiba,2026-05-29,ND
Lita,2026-05-29,1
Butembo,2026-05-29,5
Goma,2026-05-29,1
Katwa,2026-05-29,4
Karisimbi,2026-05-29,0
Kyondo,2026-05-29,1
Oicha,2026-05-29,1
Kalunguta,2026-05-29,1
Manguredjipa,2026-05-29,0
Beni,2026-05-29,2
Miti Murhesa,2026-05-29,3
Aru,2026-05-30,2
Bambu,2026-05-30,2
Bunia,2026-05-30,80
Kilo,2026-05-30,2
Mongbwalu,2026-05-30,47
Nizi,2026-05-30,2
Nyankunde,2026-05-30,19
Rwampara,2026-05-30,65
Mangala,2026-05-30,1
Damas,2026-05-30,1
Aungba,2026-05-30,1
Gety,2026-05-30,1
Komanda,2026-05-30,1
Jiba,2026-05-30,ND
Lita,2026-05-30,1
Butembo,2026-05-30,5
Goma,2026-05-30,1
Katwa,2026-05-30,4
Karisimbi,2026-05-30,0
Kyondo,2026-05-30,1
Oicha,2026-05-30,1
Kalunguta,2026-05-30,1
Manguredjipa,2026-05-30,0
Beni,2026-05-30,2
Miti Murhesa,2026-05-30,3
Aru,2026-06-01,2
Bambu,2026-06-01,2
Bunia,2026-06-01,80
Kilo,2026-06-01,2
Mongbwalu,2026-06-01,47
Nizi,2026-06-01,2
Nyankunde,2026-06-01,19
Rwampara,2026-06-01,65
Mangala,2026-06-01,1
Damas,2026-06-01,1
Aungba,2026-06-01,1
Gety,2026-06-01,1
Komanda,2026-06-01,1
Jiba,2026-06-01,ND
Lita,2026-06-01,1
Logo,2026-06-01,1
Mambasa,2026-06-01,2
NA,2026-06-01,94
Butembo,2026-06-01,2
Goma,2026-06-01,1
Katwa,2026-06-01,7
Karisimbi,2026-06-01,ND
Kyondo,2026-06-01,1
Oicha,2026-06-01,2
Kalunguta,2026-06-01,1
Manguredjipa,2026-06-01,ND
Beni,2026-06-01,5
Miti Murhesa,2026-06-01,3
Bunia,2026-06-02,85
Rwampara,2026-06-02,72
Mongbwalu,2026-06-02,47
Nyankunde,2026-06-02,22
Rimba,2026-06-02,3
Miti Murhesa,2026-06-02,3
Bambu,2026-06-02,2
Aru,2026-06-02,2
Kilo,2026-06-02,2
Nizi,2026-06-02,2
Damas,2026-06-02,2
Mambasa,2026-06-02,2
Katwa,2026-06-02,7
Beni,2026-06-02,5
Butembo,2026-06-02,2
Oicha,2026-06-02,2
Kalunguta,2026-06-02,1
Kyondo,2026-06-02,1
Goma,2026-06-02,1
Mangala,2026-06-02,1
Aungba,2026-06-02,1
Gety,2026-06-02,1
Komanda,2026-06-02,1
Lita,2026-06-02,1
Logo,2026-06-02,1
NA,2026-06-02,94
Aru,2026-06-03,2
Bambu,2026-06-03,2
Bunia,2026-06-03,97
Kilo,2026-06-03,2
Mongbwalu,2026-06-03,47
Nizi,2026-06-03,2
Nyankunde,2026-06-03,22
Rwampara,2026-06-03,76
Mangala,2026-06-03,1
Damas,2026-06-03,3
Aungba,2026-06-03,1
Gety,2026-06-03,1
Komanda,2026-06-03,1
Jiba,2026-06-03,ND
Lita,2026-06-03,2
Butembo,2026-06-03,2
Goma,2026-06-03,1
Katwa,2026-06-03,7
Karisimbi,2026-06-03,ND
Kyondo,2026-06-03,1
Oicha,2026-06-03,2
Kalunguta,2026-06-03,1
Manguredjipa,2026-06-03,ND
Beni,2026-06-03,5
Miti Murhesa,2026-06-03,3
NA,2026-06-03,97
Bunia,2026-06-04,123
Rwampara,2026-06-04,86
Mongbwalu,2026-06-04,64
Nyankunde,2026-06-04,22
Bambu,2026-06-04,5
Aru,2026-06-04,3
Kilo,2026-06-04,3
Nizi,2026-06-04,5
Mangala,2026-06-04,1
Damas,2026-06-04,3
Aungba,2026-06-04,1
Gety,2026-06-04,1
Komanda,2026-06-04,3
Lita,2026-06-04,3
Logo,2026-06-04,2
Mambasa,2026-06-04,2
Rimba,2026-06-04,3
Katwa,2026-06-04,11
Beni,2026-06-04,5
Butembo,2026-06-04,4
Oicha,2026-06-04,2
Kalunguta,2026-06-04,1
Kyondo,2026-06-04,1
Goma,2026-06-04,1
Miti Murhesa,2026-06-04,1
NA,2026-06-04,94
Bunia,2026-06-05,138
Rwampara,2026-06-05,93
Mongbwalu,2026-06-05,74
Nyankunde,2026-06-05,24
Bambu,2026-06-05,5
Aru,2026-06-05,3
Kilo,2026-06-05,4
Nizi,2026-06-05,5
Mangala,2026-06-05,1
Damas,2026-06-05,3
Aungba,2026-06-05,1
Gety,2026-06-05,1
Komanda,2026-06-05,3
Lita,2026-06-05,4
Logo,2026-06-05,2
Mambasa,2026-06-05,2
Rimba,2026-06-05,3
Katwa,2026-06-05,11
Beni,2026-06-05,5
Butembo,2026-06-05,4
Oicha,2026-06-05,2
Kalunguta,2026-06-05,1
Kyondo,2026-06-05,1
Goma,2026-06-05,1
Miti Murhesa,2026-06-05,3
NA,2026-06-05,94
Bunia,2026-06-06,142
Rwampara,2026-06-06,98
Mongbwalu,2026-06-06,92
Nyankunde,2026-06-06,24
Bambu,2026-06-06,5
Aru,2026-06-06,3
Kilo,2026-06-06,4
Nizi,2026-06-06,5
Mangala,2026-06-06,1
Damas,2026-06-06,3
Aungba,2026-06-06,1
Gety,2026-06-06,1
Komanda,2026-06-06,3
Lita,2026-06-06,4
Logo,2026-06-06,2
Mambasa,2026-06-06,2
Rimba,2026-06-06,3
Katwa,2026-06-06,11
Beni,2026-06-06,5
Butembo,2026-06-06,4
Oicha,2026-06-06,2
Kalunguta,2026-06-06,1
Kyondo,2026-06-06,1
Goma,2026-06-06,1
Miti Murhesa,2026-06-06,3
NA,2026-06-06,94
Bunia,2026-06-07,152
Rwampara,2026-06-07,111
Mongbwalu,2026-06-07,98
Nyankunde,2026-06-07,26
Bambu,2026-06-07,5
Aru,2026-06-07,3
Kilo,2026-06-07,4
Nizi,2026-06-07,5
Mangala,2026-06-07,1
Damas,2026-06-07,3
Aungba,2026-06-07,1
Gety,2026-06-07,1
Komanda,2026-06-07,3
Lita,2026-06-07,4
Logo,2026-06-07,2
Mambasa,2026-06-07,2
Rimba,2026-06-07,3
Katwa,2026-06-07,11
Beni,2026-06-07,9
Butembo,2026-06-07,4
Oicha,2026-06-07,2
Kalunguta,2026-06-07,1
Kyondo,2026-06-07,1
Goma,2026-06-07,1
Miti Murhesa,2026-06-07,3
NA,2026-06-07,94
Bunia,2026-06-08,163
Rwampara,2026-06-08,122
Mongbwalu,2026-06-08,114
Nyankunde,2026-06-08,32
Bambu,2026-06-08,5
Aru,2026-06-08,3
Kilo,2026-06-08,4
Nizi,2026-06-08,5
Mangala,2026-06-08,1
Damas,2026-06-08,3
Aungba,2026-06-08,2
Gety,2026-06-08,1
Komanda,2026-06-08,3
Lita,2026-06-08,4
Logo,2026-06-08,2
Mambasa,2026-06-08,2
Rimba,2026-06-08,3
Katwa,2026-06-08,12
Beni,2026-06-08,9
Butembo,2026-06-08,6
Oicha,2026-06-08,2
Kalunguta,2026-06-08,1
Kyondo,2026-06-08,1
Goma,2026-06-08,1
Miti Murhesa,2026-06-08,1
NA,2026-06-08,94
Bunia,2026-06-09,173
Rwampara,2026-06-09,133
Mongbwalu,2026-06-09,127
Nyankunde,2026-06-09,32
Bambu,2026-06-09,5
Aru,2026-06-09,3
Kilo,2026-06-09,4
Nizi,2026-06-09,5
Mangala,2026-06-09,1
Damas,2026-06-09,3
Aungba,2026-06-09,2
Gety,2026-06-09,1
Komanda,2026-06-09,3
Lita,2026-06-09,5
Logo,2026-06-09,2
Mambasa,2026-06-09,2
Rimba,2026-06-09,3
Tchomia,2026-06-09,2
Katwa,2026-06-09,12
Beni,2026-06-09,9
Butembo,2026-06-09,6
Oicha,2026-06-09,2
Kalunguta,2026-06-09,1
Kyondo,2026-06-09,1
Goma,2026-06-09,1
Miti Murhesa,2026-06-09,3
NA,2026-06-09,94
Bunia,2026-06-10,185
Rwampara,2026-06-10,137
Mongbwalu,2026-06-10,132
Nyankunde,2026-06-10,33
Bambu,2026-06-10,7
Aru,2026-06-10,3
Kilo,2026-06-10,4
Nizi,2026-06-10,7
Mangala,2026-06-10,2
Damas,2026-06-10,3
Aungba,2026-06-10,2
Gety,2026-06-10,1
Komanda,2026-06-10,3
Lita,2026-06-10,6
Logo,2026-06-10,2
Mambasa,2026-06-10,2
Rimba,2026-06-10,3
Tchomia,2026-06-10,2
Kambala,2026-06-10,1
Katwa,2026-06-10,18
Beni,2026-06-10,9
Butembo,2026-06-10,9
Oicha,2026-06-10,2
Kalunguta,2026-06-10,1
Kyondo,2026-06-10,2
Goma,2026-06-10,1
Masereka,2026-06-10,1
Vuhovi,2026-06-10,1
Miti Murhesa,2026-06-10,3
NA,2026-06-10,94
Bunia,2026-06-11,191
Rwampara,2026-06-11,142
Mongbwalu,2026-06-11,136
Nyankunde,2026-06-11,33
Bambu,2026-06-11,7
Aru,2026-06-11,3
Kilo,2026-06-11,4
Nizi,2026-06-11,9
Mangala,2026-06-11,2
Damas,2026-06-11,3
Aungba,2026-06-11,2
Gety,2026-06-11,1
Komanda,2026-06-11,3
Lita,2026-06-11,6
Logo,2026-06-11,2
Mambasa,2026-06-11,2
Rimba,2026-06-11,3
Tchomia,2026-06-11,2
Kambala,2026-06-11,1
Katwa,2026-06-11,16
Beni,2026-06-11,9
Butembo,2026-06-11,7
Oicha,2026-06-11,2
Kalunguta,2026-06-11,1
Kyondo,2026-06-11,2
Goma,2026-06-11,1
Masereka,2026-06-11,1
Vuhovi,2026-06-11,1
Miti Murhesa,2026-06-11,3
NA,2026-06-11,94
Bunia,2026-06-13,212
Rwampara,2026-06-13,149
Mongbwalu,2026-06-13,164
Nyankunde,2026-06-13,38
Bambu,2026-06-13,7
Aru,2026-06-13,3
Kilo,2026-06-13,4
Nizi,2026-06-13,11
Mangala,2026-06-13,5
Damas,2026-06-13,4
Aungba,2026-06-13,2
Gety,2026-06-13,1
Komanda,2026-06-13,6
Lita,2026-06-13,6
Logo,2026-06-13,2
Mambasa,2026-06-13,2
Rimba,2026-06-13,3
Tchomia,2026-06-13,2
Kambala,2026-06-13,1
Nia Nia,2026-06-13,1
Katwa,2026-06-13,21
Beni,2026-06-13,14
Butembo,2026-06-13,18
Oicha,2026-06-13,2
Kalunguta,2026-06-13,1
Kyondo,2026-06-13,2
Goma,2026-06-13,1
Masereka,2026-06-13,1
Vuhovi,2026-06-13,1
Mabalako,2026-06-13,1
Miti Murhesa,2026-06-13,3
NA,2026-06-13,94
Bunia,2026-06-14,215
Rwampara,2026-06-14,152
Mongbwalu,2026-06-14,175
Nyankunde,2026-06-14,42
Bambu,2026-06-14,7
Aru,2026-06-14,3
Kilo,2026-06-14,4
Nizi,2026-06-14,11
Mangala,2026-06-14,5
Damas,2026-06-14,4
Aungba,2026-06-14,2
Gety,2026-06-14,1
Komanda,2026-06-14,6
Lita,2026-06-14,6
Logo,2026-06-14,2
Mambasa,2026-06-14,2
Rimba,2026-06-14,3
Tchomia,2026-06-14,2
Kambala,2026-06-14,1
Nia Nia,2026-06-14,1
Katwa,2026-06-14,25
Beni,2026-06-14,14
Butembo,2026-06-14,19
Oicha,2026-06-14,2
Kalunguta,2026-06-14,1
Kyondo,2026-06-14,2
Goma,2026-06-14,1
Masereka,2026-06-14,1
Vuhovi,2026-06-14,1
Mabalako,2026-06-14,1
Miti Murhesa,2026-06-14,3
NA,2026-06-14,94
Bunia,2026-06-15,215
Rwampara,2026-06-15,192
Mongbwalu,2026-06-15,185
Nyankunde,2026-06-15,45
Bambu,2026-06-15,7
Aru,2026-06-15,3
Kilo,2026-06-15,4
Nizi,2026-06-15,16
Mangala,2026-06-15,5
Damas,2026-06-15,4
Aungba,2026-06-15,2
Gety,2026-06-15,1
Komanda,2026-06-15,7
Lita,2026-06-15,9
Logo,2026-06-15,2
Mambasa,2026-06-15,2
Rimba,2026-06-15,3
Tchomia,2026-06-15,2
Kambala,2026-06-15,1
Nia Nia,2026-06-15,1
Katwa,2026-06-15,25
Beni,2026-06-15,14
Butembo,2026-06-15,19
Oicha,2026-06-15,2
Kalunguta,2026-06-15,1
Kyondo,2026-06-15,2
Goma,2026-06-15,1
Masereka,2026-06-15,1
Vuhovi,2026-06-15,1
Mabalako,2026-06-15,1
Miti Murhesa,2026-06-15,3
NA,2026-06-15,94
Bunia,2026-06-16,226
Rwampara,2026-06-16,172
Mongbwalu,2026-06-16,189
Nyankunde,2026-06-16,45
Bambu,2026-06-16,7
Nizi,2026-06-16,16
Komanda,2026-06-16,7
Lita,2026-06-16,9
Mangala,2026-06-16,5
Tchomia,2026-06-16,5
Kilo,2026-06-16,4
Damas,2026-06-16,4
Rimba,2026-06-16,3
Aru,2026-06-16,3
Aungba,2026-06-16,2
Mambasa,2026-06-16,2
Logo,2026-06-16,2
Fataki,2026-06-16,1
Gety,2026-06-16,1
Kambala,2026-06-16,1
Nia Nia,2026-06-16,1
Katwa,2026-06-16,23
Butembo,2026-06-16,24
Beni,2026-06-16,14
Oicha,2026-06-16,3
Kyondo,2026-06-16,2
Kalunguta,2026-06-16,2
Goma,2026-06-16,1
Masereka,2026-06-16,1
Vuhovi,2026-06-16,1
Mabalako,2026-06-16,1
Musienene,2026-06-16,1
Miti Murhesa,2026-06-16,3
Bunia,2026-06-17,247
Rwampara,2026-06-17,195
Mongbwalu,2026-06-17,189
Nyankunde,2026-06-17,68
Nizi,2026-06-17,25
Lita,2026-06-17,18
Komanda,2026-06-17,10
Bambu,2026-06-17,9
Kilo,2026-06-17,7
Mangala,2026-06-17,5
Tchomia,2026-06-17,5
Damas,2026-06-17,4
Aungba,2026-06-17,4
Rimba,2026-06-17,3
Aru,2026-06-17,3
Mambasa,2026-06-17,2
Logo,2026-06-17,2
Drodro,2026-06-17,1
Gety,2026-06-17,1
Kambala,2026-06-17,1
Nia Nia,2026-06-17,1
Fataki,2026-06-17,1
NA,2026-06-17,17
Butembo,2026-06-17,25
Katwa,2026-06-17,24
Beni,2026-06-17,15
Oicha,2026-06-17,3
Kalunguta,2026-06-17,2
Kyondo,2026-06-17,2
Goma,2026-06-17,1
Masereka,2026-06-17,1
Vuhovi,2026-06-17,1
Mabalako,2026-06-17,1
Musienene,2026-06-17,1
Miti Murhesa,2026-06-17,3
Bunia,2026-06-18,253
Rwampara,2026-06-18,199
Mongbwalu,2026-06-18,198
Nyankunde,2026-06-18,77
Nizi,2026-06-18,26
Lita,2026-06-18,20
Komanda,2026-06-18,10
Bambu,2026-06-18,9
Kilo,2026-06-18,7
Mangala,2026-06-18,7
Tchomia,2026-06-18,5
Damas,2026-06-18,4
Aungba,2026-06-18,6
Rimba,2026-06-18,3
Aru,2026-06-18,3
Mambasa,2026-06-18,2
Logo,2026-06-18,2
Drodro,2026-06-18,1
Gety,2026-06-18,1
Kambala,2026-06-18,1
Nia Nia,2026-06-18,1
Fataki,2026-06-18,1
Butembo,2026-06-18,25
Katwa,2026-06-18,24
Beni,2026-06-18,16
Oicha,2026-06-18,3
Kalunguta,2026-06-18,2
Kyondo,2026-06-18,2
Goma,2026-06-18,1
Masereka,2026-06-18,1
Vuhovi,2026-06-18,1
Mabalako,2026-06-18,1
Musienene,2026-06-18,1
Miti Murhesa,2026-06-18,3
NA,2026-06-18,17-
Bunia,2026-06-19,259
Rwampara,2026-06-19,201
Mongbwalu,2026-06-19,209
Nyankunde,2026-06-19,79
Nizi,2026-06-19,26
Lita,2026-06-19,20
Komanda,2026-06-19,10
Bambu,2026-06-19,9
Kilo,2026-06-19,7
Mangala,2026-06-19,7
Tchomia,2026-06-19,5
Damas,2026-06-19,4
Aungba,2026-06-19,6
Rimba,2026-06-19,3
Aru,2026-06-19,3
Mambasa,2026-06-19,2
Logo,2026-06-19,2
Drodro,2026-06-19,1
Gety,2026-06-19,1
Kambala,2026-06-19,1
Nia Nia,2026-06-19,1
Fataki,2026-06-19,1
Butembo,2026-06-19,25
Katwa,2026-06-19,26
Beni,2026-06-19,16
Oicha,2026-06-19,3
Kalunguta,2026-06-19,2
Kyondo,2026-06-19,2
Goma,2026-06-19,1
Masereka,2026-06-19,1
Vuhovi,2026-06-19,1
Mabalako,2026-06-19,1
Musienene,2026-06-19,1
Miti Murhesa,2026-06-19,3
NA,2026-06-19,17
Bunia,2026-06-20,275
Rwampara,2026-06-20,211
Mongbwalu,2026-06-20,220
Nyankunde,2026-06-20,79
Nizi,2026-06-20,26
Lita,2026-06-20,20
Komanda,2026-06-20,10
Bambu,2026-06-20,14
Kilo,2026-06-20,7
Mangala,2026-06-20,7
Tchomia,2026-06-20,5
Damas,2026-06-20,4
Aungba,2026-06-20,6
Rimba,2026-06-20,3
Aru,2026-06-20,3
Mambasa,2026-06-20,2
Logo,2026-06-20,2
Drodro,2026-06-20,1
Gety,2026-06-20,1
Kambala,2026-06-20,1
Nia Nia,2026-06-20,1
Fataki,2026-06-20,1
Butembo,2026-06-20,27
Katwa,2026-06-20,28
Beni,2026-06-20,17
Oicha,2026-06-20,3
Kalunguta,2026-06-20,2
Kyondo,2026-06-20,2
Goma,2026-06-20,1
Masereka,2026-06-20,1
Vuhovi,2026-06-20,1
Mabalako,2026-06-20,1
Musienene,2026-06-20,1
Miti Murhesa,2026-06-20,3
NA,2026-06-20,17
Bunia,2026-06-21,285
Rwampara,2026-06-21,215
Mongbwalu,2026-06-21,229
Nyankunde,2026-06-21,86
Nizi,2026-06-21,26
Lita,2026-06-21,21
Komanda,2026-06-21,10
Bambu,2026-06-21,14
Kilo,2026-06-21,7
Mangala,2026-06-21,11
Tchomia,2026-06-21,7
Damas,2026-06-21,4
Aungba,2026-06-21,6
Rimba,2026-06-21,3
Aru,2026-06-21,3
Mambasa,2026-06-21,2
Logo,2026-06-21,2
Drodro,2026-06-21,1
Gety,2026-06-21,1
Kambala,2026-06-21,1
Nia Nia,2026-06-21,2
Fataki,2026-06-21,1
Butembo,2026-06-21,28
Katwa,2026-06-21,31
Beni,2026-06-21,18
Oicha,2026-06-21,3
Kalunguta,2026-06-21,2
Kyondo,2026-06-21,3
Goma,2026-06-21,1
Masereka,2026-06-21,1
Vuhovi,2026-06-21,1
Mabalako,2026-06-21,1
Musienene,2026-06-21,2
Miti Murhesa,2026-06-21,3
NA,2026-06-21,17
Bunia,2026-06-22,296
Rwampara,2026-06-22,225
Mongbwalu,2026-06-22,237
Nyankunde,2026-06-22,86
Nizi,2026-06-22,30
Lita,2026-06-22,24
Komanda,2026-06-22,10
Bambu,2026-06-22,14
Kilo,2026-06-22,7
Mangala,2026-06-22,14
Tchomia,2026-06-22,8
Damas,2026-06-22,4
Aungba,2026-06-22,6
Rimba,2026-06-22,3
Aru,2026-06-22,3
Mambasa,2026-06-22,2
Logo,2026-06-22,5
Drodro,2026-06-22,1
Gety,2026-06-22,1
Kambala,2026-06-22,1
Nia Nia,2026-06-22,2
Fataki,2026-06-22,1
Butembo,2026-06-22,28
Katwa,2026-06-22,32
Beni,2026-06-22,20
Oicha,2026-06-22,3
Kalunguta,2026-06-22,2
Kyondo,2026-06-22,3
Goma,2026-06-22,1
Masereka,2026-06-22,1
Vuhovi,2026-06-22,1
Mabalako,2026-06-22,1
Musienene,2026-06-22,2
Miti Murhesa,2026-06-22,3
NA,2026-06-22,17
Bunia,2026-06-23,304
Rwampara,2026-06-23,225
Mongbwalu,2026-06-23,241
Nyankunde,2026-06-23,86
Nizi,2026-06-23,30
Lita,2026-06-23,26
Komanda,2026-06-23,13
Bambu,2026-06-23,14
Kilo,2026-06-23,7
Mangala,2026-06-23,17
Tchomia,2026-06-23,8
Damas,2026-06-23,4
Aungba,2026-06-23,6
Rimba,2026-06-23,3
Aru,2026-06-23,3
Mambasa,2026-06-23,2
Logo,2026-06-23,5
Drodro,2026-06-23,1
Gety,2026-06-23,1
Kambala,2026-06-23,1
Nia Nia,2026-06-23,5
Fataki,2026-06-23,1
Butembo,2026-06-23,29
Katwa,2026-06-23,32
Beni,2026-06-23,20
Oicha,2026-06-23,3
Kalunguta,2026-06-23,2
Kyondo,2026-06-23,3
Goma,2026-06-23,1
Masereka,2026-06-23,1
Vuhovi,2026-06-23,1
Mabalako,2026-06-23,1
Musienene,2026-06-23,2
NA,2026-06-23,17
Bunia,2026-06-24,314
Rwampara,2026-06-24,237
Mongbwalu,2026-06-24,245
Nyankunde,2026-06-24,91
Nizi,2026-06-24,30
Lita,2026-06-24,26
Komanda,2026-06-24,13
Bambu,2026-06-24,14
Kilo,2026-06-24,9
Mangala,2026-06-24,17
Tchomia,2026-06-24,9
Damas,2026-06-24,4
Aungba,2026-06-24,6
Rimba,2026-06-24,3
Aru,2026-06-24,3
Mambasa,2026-06-24,2
Logo,2026-06-24,5
Drodro,2026-06-24,1
Gety,2026-06-24,1
Kambala,2026-06-24,1
Nia Nia,2026-06-24,5
Fataki,2026-06-24,1
Butembo,2026-06-24,31
Katwa,2026-06-24,33
Beni,2026-06-24,20
Oicha,2026-06-24,3
Kalunguta,2026-06-24,2
Kyondo,2026-06-24,3
Goma,2026-06-24,1
Masereka,2026-06-24,1
Vuhovi,2026-06-24,1
Mabalako,2026-06-24,1
Musienene,2026-06-24,2
Miti Murhesa,2026-06-24,3
NA,2026-06-24,17
Bunia,2026-06-25,323
Rwampara,2026-06-25,258
Mongbwalu,2026-06-25,250
Nyankunde,2026-06-25],93
Nizi,2026-06-25,32
Lita,2026-06-25,26
Komanda,2026-06-25,13
Bambu,2026-06-25,14
Kilo,2026-06-25,9
Mangala,2026-06-25,17
Tchomia,2026-06-25,10
Damas,2026-06-25,4
Aungba,2026-06-25,6
Rimba,2026-06-25,3
Aru,2026-06-25,3
Mambasa,2026-06-25,2
Logo,2026-06-25,7
Drodro,2026-06-25,1
Gety,2026-06-25,1
Kambala,2026-06-25,1
Nia Nia,2026-06-25,5
Fataki,2026-06-25,1
Butembo,2026-06-25,33
Katwa,2026-06-25,35
Beni,2026-06-25,22
Oicha,2026-06-25,3
Kalunguta,2026-06-25,2
Kyondo,2026-06-25,3
Goma,2026-06-25,1
Masereka,2026-06-25,1
Vuhovi,2026-06-25,1
Mabalako,2026-06-25,1
Musienene,2026-06-25,2
Miti Murhesa,2026-06-25,3
NA,2026-06-25,17
Bunia,2026-06-29,358
Rwampara,2026-06-29,295
Mongbwalu,2026-06-29,258
Nyankunde,2026-06-29,94
Nizi,2026-06-29,41
Lita,2026-06-29,29
Komanda,2026-06-29,16
Bambu,2026-06-29,16
Kilo,2026-06-29,9
Mangala,2026-06-29,24
Tchomia,2026-06-29,13
Damas,2026-06-29,5
Aungba,2026-06-29,6
Rimba,2026-06-29,3
Aru,2026-06-29,3
Mambasa,2026-06-29,2
Logo,2026-06-29,7
Drodro,2026-06-29,3
Gety,2026-06-29,1
Kambala,2026-06-29,1
Nia Nia,2026-06-29,11
Fataki,2026-06-29,1
Mandima,2026-06-29,1
Butembo,2026-06-29,34
Katwa,2026-06-29,45
Beni,2026-06-29,22
Oicha,2026-06-29,3
Kalunguta,2026-06-29,2
