nom,date,cumulative_confirmed_deaths
Butembo,2026-05-29,2
Goma,2026-05-29,0
Katwa,2026-05-29,3
Karisimbi,2026-05-29,0
Kyondo,2026-05-29,0
Oicha,2026-05-29,0
Kalunguta,2026-05-29,1
Beni,2026-05-29,0
Miti Murhesa,2026-05-29,1
Aru,2026-05-30,1
Bambu,2026-05-30,2
Bunia,2026-05-30,8
Kilo,2026-05-30,0
Mongbwalu,2026-05-30,10
Nizi,2026-05-30,0
Nyankunde,2026-05-30,1
Rwampara,2026-05-30,13
Mangala,2026-05-30,0
Damas,2026-05-30,0
Aungba,2026-05-30,0
Gety,2026-05-30,0
Komanda,2026-05-30,0
Jiba,2026-05-30,0
Lita,2026-05-30,0
Butembo,2026-05-30,2
Goma,2026-05-30,0
Katwa,2026-05-30,3
Karisimbi,2026-05-30,0
Kyondo,2026-05-30,0
Oicha,2026-05-30,0
Kalunguta,2026-05-30,1
Beni,2026-05-30,0
Miti Murhesa,2026-05-30,1
Aru,2026-06-01,1
Bambu,2026-06-01,2
Bunia,2026-06-01,8
Kilo,2026-06-01,0
Mongbwalu,2026-06-01,10
Nizi,2026-06-01,0
Nyankunde,2026-06-01,1
Rwampara,2026-06-01,13
Mangala,2026-06-01,0
Damas,2026-06-01,0
Aungba,2026-06-01,0
Gety,2026-06-01,0
Komanda,2026-06-01,0
Jiba,2026-06-01,ND
Lita,2026-06-01,0
Logo,2026-06-01,0
Mambasa,2026-06-01,1
NA,2026-06-01,10
Butembo,2026-06-01,2
Goma,2026-06-01,0
Katwa,2026-06-01,5
Karisimbi,2026-06-01,ND
Kyondo,2026-06-01,0
Oicha,2026-06-01,2
Kalunguta,2026-06-01,1
Beni,2026-06-01,3
Miti Murhesa,2026-06-01,1
Bunia,2026-06-02,8
Rwampara,2026-06-02,15
Mongbwalu,2026-06-02,10
Nyankunde,2026-06-02,1
Rimba,2026-06-02,0
Miti Murhesa,2026-06-02,1
Bambu,2026-06-02,2
Aru,2026-06-02,1
Kilo,2026-06-02,0
Nizi,2026-06-02,0
Damas,2026-06-02,0
Mambasa,2026-06-02,1
Katwa,2026-06-02,5
Beni,2026-06-02,3
Butembo,2026-06-02,2
Oicha,2026-06-02,2
Kalunguta,2026-06-02,1
Kyondo,2026-06-02,0
Goma,2026-06-02,0
Mangala,2026-06-02,0
Aungba,2026-06-02,0
Gety,2026-06-02,0
Komanda,2026-06-02,0
Lita,2026-06-02,0
Logo,2026-06-02,0
NA,2026-06-02,10
Aru,2026-06-03,1
Bambu,2026-06-03,2
Bunia,2026-06-03,9
Kilo,2026-06-03,0
Mongbwalu,2026-06-03,10
Nizi,2026-06-03,0
Nyankunde,2026-06-03,1
Rwampara,2026-06-03,16
Mangala,2026-06-03,0
Damas,2026-06-03,0
Aungba,2026-06-03,0
Gety,2026-06-03,0
Komanda,2026-06-03,0
Jiba,2026-06-03,NA
Lita,2026-06-03,0
Butembo,2026-06-03,2
Goma,2026-06-03,0
Katwa,2026-06-03,5
Karisimbi,2026-06-03,NA
Kyondo,2026-06-03,0
Oicha,2026-06-03,2
Kalunguta,2026-06-03,1
Beni,2026-06-03,3
Miti Murhesa,2026-06-03,1
NA,2026-06-03,1
Bunia,2026-06-04,11
Rwampara,2026-06-04,18
Mongbwalu,2026-06-04,21
Nyankunde,2026-06-04,1
Bambu,2026-06-04,2
Aru,2026-06-04,1
Kilo,2026-06-04,1
Nizi,2026-06-04,0
Mangala,2026-06-04,0
Damas,2026-06-04,0
Aungba,2026-06-04,0
Gety,2026-06-04,0
Komanda,2026-06-04,0
Lita,2026-06-04,0
Logo,2026-06-04,0
Mambasa,2026-06-04,1
Rimba,2026-06-04,0
Katwa,2026-06-04,7
Beni,2026-06-04,3
Butembo,2026-06-04,2
Oicha,2026-06-04,2
Kalunguta,2026-06-04,1
Kyondo,2026-06-04,0
Goma,2026-06-04,0
Miti Murhesa,2026-06-04,1
NA,2026-06-04,10
Bunia,2026-06-05,14
Rwampara,2026-06-05,19
Mongbwalu,2026-06-05,21
Nyankunde,2026-06-05,1
Bambu,2026-06-05,2
Aru,2026-06-05,1
Kilo,2026-06-05,1
Nizi,2026-06-05,0
Mangala,2026-06-05,0
Damas,2026-06-05,0
Aungba,2026-06-05,0
Gety,2026-06-05,0
Komanda,2026-06-05,0
Lita,2026-06-05,0
Logo,2026-06-05,0
Mambasa,2026-06-05,1
Rimba,2026-06-05,0
Katwa,2026-06-05,7
Beni,2026-06-05,3
Butembo,2026-06-05,2
Oicha,2026-06-05,2
Kalunguta,2026-06-05,1
Kyondo,2026-06-05,0
Goma,2026-06-05,0
Miti Murhesa,2026-06-05,1
NA,2026-06-05,10
Bunia,2026-06-06,14
Rwampara,2026-06-06,19
Mongbwalu,2026-06-06,25
Nyankunde,2026-06-06,1
Bambu,2026-06-06,2
Aru,2026-06-06,1
Kilo,2026-06-06,1
Nizi,2026-06-06,0
Mangala,2026-06-06,0
Damas,2026-06-06,0
Aungba,2026-06-06,0
Gety,2026-06-06,0
Komanda,2026-06-06,0
Lita,2026-06-06,0
Logo,2026-06-06,0
Mambasa,2026-06-06,1
Rimba,2026-06-06,0
Katwa,2026-06-06,8
Beni,2026-06-06,3
Butembo,2026-06-06,2
Oicha,2026-06-06,2
Kalunguta,2026-06-06,1
Kyondo,2026-06-06,0
Goma,2026-06-06,0
Miti Murhesa,2026-06-06,1
NA,2026-06-06,10
Bunia,2026-06-07,15
Rwampara,2026-06-07,20
Mongbwalu,2026-06-07,29
Nyankunde,2026-06-07,1
Bambu,2026-06-07,2
Aru,2026-06-07,1
Kilo,2026-06-07,1
Nizi,2026-06-07,0
Mangala,2026-06-07,0
Damas,2026-06-07,0
Aungba,2026-06-07,0
Gety,2026-06-07,0
Komanda,2026-06-07,0
Lita,2026-06-07,0
Logo,2026-06-07,0
Mambasa,2026-06-07,1
Rimba,2026-06-07,0
Katwa,2026-06-07,8
Beni,2026-06-07,7
Butembo,2026-06-07,2
Oicha,2026-06-07,2
Kalunguta,2026-06-07,1
Kyondo,2026-06-07,0
Goma,2026-06-07,0
Miti Murhesa,2026-06-07,1
NA,2026-06-07,10
Bunia,2026-06-08,15
Rwampara,2026-06-08,20
Mongbwalu,2026-06-08,40
Nyankunde,2026-06-08,1
Bambu,2026-06-08,2
Aru,2026-06-08,1
Kilo,2026-06-08,1
Nizi,2026-06-08,0
Mangala,2026-06-08,0
Damas,2026-06-08,0
Aungba,2026-06-08,1
Gety,2026-06-08,0
Komanda,2026-06-08,0
Lita,2026-06-08,0
Logo,2026-06-08,0
Mambasa,2026-06-08,1
Rimba,2026-06-08,0
Katwa,2026-06-08,8
Beni,2026-06-08,7
Butembo,2026-06-08,4
Oicha,2026-06-08,2
Kalunguta,2026-06-08,1
Kyondo,2026-06-08,0
Goma,2026-06-08,0
Miti Murhesa,2026-06-08,1
NA,2026-06-08,10
Bunia,2026-06-09,15
Rwampara,2026-06-09,25
Mongbwalu,2026-06-09,47
Nyankunde,2026-06-09,1
Bambu,2026-06-09,2
Aru,2026-06-09,1
Kilo,2026-06-09,1
Nizi,2026-06-09,0
Mangala,2026-06-09,0
Damas,2026-06-09,0
Aungba,2026-06-09,1
Gety,2026-06-09,0
Komanda,2026-06-09,0
Lita,2026-06-09,0
Logo,2026-06-09,0
Mambasa,2026-06-09,1
Rimba,2026-06-09,0
Tchomia,2026-06-09,0
Katwa,2026-06-09,8
Beni,2026-06-09,7
Butembo,2026-06-09,4
Oicha,2026-06-09,2
Kalunguta,2026-06-09,1
Kyondo,2026-06-09,0
Goma,2026-06-09,0
Miti Murhesa,2026-06-09,1
NA,2026-06-09,10
Bunia,2026-06-10,17
Rwampara,2026-06-10,25
Mongbwalu,2026-06-10,49
Nyankunde,2026-06-10,1
Bambu,2026-06-10,2
Aru,2026-06-10,1
Kilo,2026-06-10,1
Nizi,2026-06-10,0
Mangala,2026-06-10,0
Damas,2026-06-10,0
Aungba,2026-06-10,1
Gety,2026-06-10,0
Komanda,2026-06-10,0
Lita,2026-06-10,0
Logo,2026-06-10,0
Mambasa,2026-06-10,1
Rimba,2026-06-10,0
Tchomia,2026-06-10,0
Kambala,2026-06-10,1
Katwa,2026-06-10,10
Beni,2026-06-10,7
Butembo,2026-06-10,5
Oicha,2026-06-10,2
Kalunguta,2026-06-10,1
Kyondo,2026-06-10,0
Goma,2026-06-10,0
Masereka,2026-06-10,0
Vuhovi,2026-06-10,1
Miti Murhesa,2026-06-10,1
NA,2026-06-10,10
Bunia,2026-06-11,17
Rwampara,2026-06-11,26
Mongbwalu,2026-06-11,52
Nyankunde,2026-06-11,1
Bambu,2026-06-11,2
Aru,2026-06-11,1
Kilo,2026-06-11,1
Nizi,2026-06-11,1
Mangala,2026-06-11,0
Damas,2026-06-11,0
Aungba,2026-06-11,1
Gety,2026-06-11,0
Komanda,2026-06-11,0
Lita,2026-06-11,0
Logo,2026-06-11,0
Mambasa,2026-06-11,1
Rimba,2026-06-11,0
Tchomia,2026-06-11,0
Kambala,2026-06-11,1
Katwa,2026-06-11,9
Beni,2026-06-11,5
Butembo,2026-06-11,5
Oicha,2026-06-11,2
Kalunguta,2026-06-11,1
Kyondo,2026-06-11,2
Goma,2026-06-11,1
Masereka,2026-06-11,1
Vuhovi,2026-06-11,1
Miti Murhesa,2026-06-11,1
NA,2026-06-11,10
Bunia,2026-06-13,20
Rwampara,2026-06-13,27
Mongbwalu,2026-06-13,73
Nyankunde,2026-06-13,4
Bambu,2026-06-13,2
Aru,2026-06-13,1
Kilo,2026-06-13,1
Nizi,2026-06-13,1
Mangala,2026-06-13,3
Damas,2026-06-13,0
Aungba,2026-06-13,1
Gety,2026-06-13,0
Komanda,2026-06-13,0
Lita,2026-06-13,0
Logo,2026-06-13,0
Mambasa,2026-06-13,1
Rimba,2026-06-13,0
Tchomia,2026-06-13,0
Kambala,2026-06-13,1
Nia Nia,2026-06-13,1
Katwa,2026-06-13,12
Beni,2026-06-13,10
Butembo,2026-06-13,7
Oicha,2026-06-13,2
Kalunguta,2026-06-13,1
Kyondo,2026-06-13,1
Goma,2026-06-13,0
Masereka,2026-06-13,0
Vuhovi,2026-06-13,1
Mabalako,2026-06-13,0
Miti Murhesa,2026-06-13,1
NA,2026-06-13,10
Bunia,2026-06-14,20
Rwampara,2026-06-14,27
Mongbwalu,2026-06-14,80
Nyankunde,2026-06-14,4
Bambu,2026-06-14,2
Aru,2026-06-14,1
Kilo,2026-06-14,1
Nizi,2026-06-14,1
Mangala,2026-06-14,3
Damas,2026-06-14,0
Aungba,2026-06-14,1
Gety,2026-06-14,0
Komanda,2026-06-14,0
Lita,2026-06-14,0
Logo,2026-06-14,0
Mambasa,2026-06-14,1
Rimba,2026-06-14,0
Tchomia,2026-06-14,0
Kambala,2026-06-14,1
Nia Nia,2026-06-14,1
Katwa,2026-06-14,16
Beni,2026-06-14,10
Butembo,2026-06-14,7
Oicha,2026-06-14,2
Kalunguta,2026-06-14,1
Kyondo,2026-06-14,1
Goma,2026-06-14,0
Masereka,2026-06-14,0
Vuhovi,2026-06-14,1
Mabalako,2026-06-14,0
Miti Murhesa,2026-06-14,1
NA,2026-06-14,10
Bunia,2026-06-15,20
Rwampara,2026-06-15,27
Mongbwalu,2026-06-15,83
Nyankunde,2026-06-15,4
Bambu,2026-06-15,2
Aru,2026-06-15,1
Kilo,2026-06-15,1
Nizi,2026-06-15,1
Mangala,2026-06-15,3
Damas,2026-06-15,0
Aungba,2026-06-15,1
Gety,2026-06-15,0
Komanda,2026-06-15,1
Lita,2026-06-15,0
Logo,2026-06-15,0
Mambasa,2026-06-15,1
Rimba,2026-06-15,0
Tchomia,2026-06-15,0
Kambala,2026-06-15,1
Nia Nia,2026-06-15,1
Katwa,2026-06-15,16
Beni,2026-06-15,10
Butembo,2026-06-15,7
Oicha,2026-06-15,2
Kalunguta,2026-06-15,1
Kyondo,2026-06-15,1
Goma,2026-06-15,0
Masereka,2026-06-15,0
Vuhovi,2026-06-15,1
Mabalako,2026-06-15,0
Miti Murhesa,2026-06-15,1
NA,2026-06-15,10
Bunia,2026-06-17,41
Rwampara,2026-06-17,33
Mongbwalu,2026-06-17,83
Nyankunde,2026-06-17,6
Nizi,2026-06-17,5
Lita,2026-06-17,4
Komanda,2026-06-17,3
Bambu,2026-06-17,2
Kilo,2026-06-17,1
Mangala,2026-06-17,3
Tchomia,2026-06-17,0
Damas,2026-06-17,0
Aungba,2026-06-17,1
Rimba,2026-06-17,0
Aru,2026-06-17,1
Mambasa,2026-06-17,1
Logo,2026-06-17,0
Drodro,2026-06-17,1
Gety,2026-06-17,0
Kambala,2026-06-17,1
Nia Nia,2026-06-17,1
Fataki,2026-06-17,0
NA,2026-06-17,0
Butembo,2026-06-17,11
Katwa,2026-06-17,16
Beni,2026-06-17,12
Oicha,2026-06-17,2
Kalunguta,2026-06-17,1
Kyondo,2026-06-17,1
Goma,2026-06-17,0
Masereka,2026-06-17,0
Vuhovi,2026-06-17,1
Mabalako,2026-06-17,0
Musienene,2026-06-17,1
Miti Murhesa,2026-06-17,1
Bunia,2026-06-18,42
Rwampara,2026-06-18,35
Mongbwalu,2026-06-18,87
Nyankunde,2026-06-18,7
Nizi,2026-06-18,5
Lita,2026-06-18,6
Komanda,2026-06-18,3
Bambu,2026-06-18,2
Kilo,2026-06-18,1
Mangala,2026-06-18,4
Tchomia,2026-06-18,0
Damas,2026-06-18,0
Aungba,2026-06-18,2
Rimba,2026-06-18,0
Aru,2026-06-18,1
Mambasa,2026-06-18,1
Logo,2026-06-18,0
Drodro,2026-06-18,1
Gety,2026-06-18,0
Kambala,2026-06-18,1
Nia Nia,2026-06-18,1
Fataki,2026-06-18,0
Butembo,2026-06-18,11
Katwa,2026-06-18,16
Beni,2026-06-18,12
Oicha,2026-06-18,2
Kalunguta,2026-06-18,1
Kyondo,2026-06-18,1
Goma,2026-06-18,0
Masereka,2026-06-18,0
Vuhovi,2026-06-18,1
Mabalako,2026-06-18,0
Musienene,2026-06-18,1
Miti Murhesa,2026-06-18,1
NA,2026-06-18,0
Bunia,2026-06-19,42
Rwampara,2026-06-19,35
Mongbwalu,2026-06-19,89
Nyankunde,2026-06-19,7
Nizi,2026-06-19,5
Lita,2026-06-19,6
Komanda,2026-06-19,3
Bambu,2026-06-19,2
Kilo,2026-06-19,1
Mangala,2026-06-19,4
Tchomia,2026-06-19,0
Damas,2026-06-19,0
Aungba,2026-06-19,2
Rimba,2026-06-19,0
Aru,2026-06-19,1
Mambasa,2026-06-19,1
Logo,2026-06-19,0
Drodro,2026-06-19,1
Gety,2026-06-19,0
Kambala,2026-06-19,1
Nia Nia,2026-06-19,1
Fataki,2026-06-19,0
Butembo,2026-06-19,11
Katwa,2026-06-19,16
Beni,2026-06-19,12
Oicha,2026-06-19,2
Kalunguta,2026-06-19,1
Kyondo,2026-06-19,1
Goma,2026-06-19,0
Masereka,2026-06-19,0
Vuhovi,2026-06-19,1
Mabalako,2026-06-19,0
Musienene,2026-06-19,1
Miti Murhesa,2026-06-19,1
NA,2026-06-19,0
Bunia,2026-06-20,44
Rwampara,2026-06-20,35
Mongbwalu,2026-06-20,91
Nyankunde,2026-06-20,7
Nizi,2026-06-20,5
Lita,2026-06-20,6
Komanda,2026-06-20,3
Bambu,2026-06-20,2
Kilo,2026-06-20,1
Mangala,2026-06-20,4
Tchomia,2026-06-20,0
Damas,2026-06-20,0
Aungba,2026-06-20,2
Rimba,2026-06-20,0
Aru,2026-06-20,1
Mambasa,2026-06-20,1
Logo,2026-06-20,0
Drodro,2026-06-20,1
Gety,2026-06-20,0
Kambala,2026-06-20,1
Nia Nia,2026-06-20,1
Fataki,2026-06-20,0
Butembo,2026-06-20,13
Katwa,2026-06-20,17
Beni,2026-06-20,12
Oicha,2026-06-20,2
Kalunguta,2026-06-20,1
Kyondo,2026-06-20,1
Goma,2026-06-20,0
Masereka,2026-06-20,0
Vuhovi,2026-06-20,1
Mabalako,2026-06-20,0
Musienene,2026-06-20,1
Miti Murhesa,2026-06-20,1
NA,2026-06-20,0
Bunia,2026-06-21,45
Rwampara,2026-06-21,36
Mongbwalu,2026-06-21,96
Nyankunde,2026-06-21,9
Nizi,2026-06-21,5
Lita,2026-06-21,6
Komanda,2026-06-21,3
Bambu,2026-06-21,2
Kilo,2026-06-21,1
Mangala,2026-06-21,5
Tchomia,2026-06-21,0
Damas,2026-06-21,0
Aungba,2026-06-21,2
Rimba,2026-06-21,0
Aru,2026-06-21,1
Mambasa,2026-06-21,1
Logo,2026-06-21,0
Drodro,2026-06-21,1
Gety,2026-06-21,0
Kambala,2026-06-21,1
Nia Nia,2026-06-21,2
Fataki,2026-06-21,0
Butembo,2026-06-21,13
Katwa,2026-06-21,19
Beni,2026-06-21,12
Oicha,2026-06-21,2
Kalunguta,2026-06-21,1
Kyondo,2026-06-21,1
Goma,2026-06-21,0
Masereka,2026-06-21,0
Vuhovi,2026-06-21,1
Mabalako,2026-06-21,0
Musienene,2026-06-21,1
Miti Murhesa,2026-06-21,1
NA,2026-06-21,0
Bunia,2026-06-22,48
Rwampara,2026-06-22,37
Mongbwalu,2026-06-22,100
Nyankunde,2026-06-22,9
Nizi,2026-06-22,6
Lita,2026-06-22,6
Komanda,2026-06-22,3
Bambu,2026-06-22,2
Kilo,2026-06-22,1
Mangala,2026-06-22,6
Tchomia,2026-06-22,0
Damas,2026-06-22,0
Aungba,2026-06-22,2
Rimba,2026-06-22,0
Aru,2026-06-22,1
Mambasa,2026-06-22,1
Logo,2026-06-22,0
Drodro,2026-06-22,1
Gety,2026-06-22,0
Kambala,2026-06-22,1
Nia Nia,2026-06-22,2
Fataki,2026-06-22,0
Butembo,2026-06-22,13
Katwa,2026-06-22,19
Beni,2026-06-22,12
Oicha,2026-06-22,2
Kalunguta,2026-06-22,1
Kyondo,2026-06-22,1
Goma,2026-06-22,0
Masereka,2026-06-22,0
Vuhovi,2026-06-22,1
Mabalako,2026-06-22,0
Musienene,2026-06-22,1
Miti Murhesa,2026-06-22,1
NA,2026-06-22,0
Bunia,2026-06-23,54
Rwampara,2026-06-23,37
Mongbwalu,2026-06-23,103
Nyankunde,2026-06-23,9
Nizi,2026-06-23,6
Lita,2026-06-23,6
Komanda,2026-06-23,3
Bambu,2026-06-23,2
Kilo,2026-06-23,1
Mangala,2026-06-23,8
Tchomia,2026-06-23,0
Damas,2026-06-23,0
Aungba,2026-06-23,2
Rimba,2026-06-23,0
Aru,2026-06-23,1
Mambasa,2026-06-23,1
Logo,2026-06-23,0
Drodro,2026-06-23,1
Gety,2026-06-23,0
Kambala,2026-06-23,1
Nia Nia,2026-06-23,3
Fataki,2026-06-23,0
Butembo,2026-06-23,13
Katwa,2026-06-23,19
Beni,2026-06-23,12
Oicha,2026-06-23,2
Kalunguta,2026-06-23,1
Kyondo,2026-06-23,2
Goma,2026-06-23,0
Masereka,2026-06-23,0
Vuhovi,2026-06-23,1
Mabalako,2026-06-23,0
Musienene,2026-06-23,2
Miti Murhesa,2026-06-23,1
NA,2026-06-23,0
Bunia,2026-06-24,60
Rwampara,2026-06-24,40
Mongbwalu,2026-06-24,105
Nyankunde,2026-06-24,10
Nizi,2026-06-24,6
Lita,2026-06-24,6
Komanda,2026-06-24,3
Bambu,2026-06-24,2
Kilo,2026-06-24,1
Mangala,2026-06-24,8
Tchomia,2026-06-24,0
Damas,2026-06-24,0
Aungba,2026-06-24,2
Rimba,2026-06-24,0
Aru,2026-06-24,1
Mambasa,2026-06-24,1
Logo,2026-06-24,0
Drodro,2026-06-24,1]
Gety,2026-06-24,0
Kambala,2026-06-24,1
Nia Nia,2026-06-24,3
Fataki,2026-06-24,0
Butembo,2026-06-24,13
Katwa,2026-06-24,20
Beni,2026-06-24,12
Oicha,2026-06-24,2
Kalunguta,2026-06-24,1
Kyondo,2026-06-24,2
Goma,2026-06-24,0
Masereka,2026-06-24,0
Vuhovi,2026-06-24,1
Mabalako,2026-06-24,0
Musienene,2026-06-24,2
Miti Murhesa,2026-06-24,1
NA,2026-06-24,0
Bunia,2026-06-25,64
Rwampara,2026-06-25,43
Mongbwalu,2026-06-25,109
Nyankunde,2026-06-25,11
Nizi,2026-06-25,6
Lita,2026-06-25,6
Komanda,2026-06-25,3
Bambu,2026-06-25,3
Kilo,2026-06-25,1
Mangala,2026-06-25,8
Tchomia,2026-06-25,0
Damas,2026-06-25,0
Aungba,2026-06-25,2
Rimba,2026-06-25,0
Aru,2026-06-25,1
Mambasa,2026-06-25,1
Logo,2026-06-25,0
Drodro,2026-06-25,1
Gety,2026-06-25,0
Kambala,2026-06-25,1
Nia Nia,2026-06-25,3
Fataki,2026-06-25,0
Butembo,2026-06-25,14
Katwa,2026-06-25,22
Beni,2026-06-25,13
Oicha,2026-06-25,2
Kalunguta,2026-06-25,1
Kyondo,2026-06-25,2
Goma,2026-06-25,0
Masereka,2026-06-25,0
Vuhovi,2026-06-25,1
Mabalako,2026-06-25,0
Musienene,2026-06-25,2
Miti Murhesa,2026-06-25,1
NA,2026-06-25,0
Bunia,2026-06-29,82
Rwampara,2026-06-29,60
Mongbwalu,2026-06-29,123
Nyankunde,2026-06-29,15
Nizi,2026-06-29,9
Lita,2026-06-29,9
Komanda,2026-06-29,5
Bambu,2026-06-29,4
Kilo,2026-06-29,1
Mangala,2026-06-29,12
Tchomia,2026-06-29,2
Damas,2026-06-29,0
Aungba,2026-06-29,2
Rimba,2026-06-29,0
Aru,2026-06-29,1
Mambasa,2026-06-29,1
Logo,2026-06-29,0
Drodro,2026-06-29,3
Gety,2026-06-29,0
Kambala,2026-06-29,1
Nia Nia,2026-06-29,5
Fataki,2026-06-29,0
Mandima,2026-06-29,0
Butembo,2026-06-29,14
Katwa,2026-06-29,27
Beni,2026-06-29,14
Oicha,2026-06-29,2
Kalunguta,2026-06-29,1
Kyondo,2026-06-29,2
Goma,2026-06-29,0
Masereka,2026-06-29,0
Vuhovi,2026-06-29,1
Mabalako,2026-06-29,0
Musienene,2026-06-29,2
Miti Murhesa,2026-06-29,1
NA,2026-06-29,0
Bunia,2026-06-30,94
Rwampara,2026-06-30,61
Mongbwalu,2026-06-30,126
Nyankunde,2026-06-30,16
Nizi,2026-06-30,19
Lita,2026-06-30,9
Komanda,2026-06-30,5
Bambu,2026-06-30,5
Kilo,2026-06-30,1
Mangala,2026-06-30,12
Tchomia,2026-06-30,2
Damas,2026-06-30,0
Aungba,2026-06-30,2
Rimba,2026-06-30,0
Aru,2026-06-30,1
Mambasa,2026-06-30,1
Logo,2026-06-30,0
Drodro,2026-06-30,3
Gety,2026-06-30,0
Kambala,2026-06-30,2
Nia Nia,2026-06-30,5
Fataki,2026-06-30,0
Mandima,2026-06-30,1
Lolwa,2026-06-30,1
Butembo,2026-06-30,15
Katwa,2026-06-30,33
Beni,2026-06-30,15
Oicha,2026-06-30,2
Kalunguta,2026-06-30,1
Kyondo,2026-06-30,2
Goma,2026-06-30,0
Masereka,2026-06-30,0
Vuhovi,2026-06-30,1
Mabalako,2026-06-30,0
Musienene,2026-06-30,2
Miti Murhesa,2026-06-30,1
NA,2026-06-30,0
Bunia,2026-07-01,103
Rwampara,2026-07-01,63
Mongbwalu,2026-07-01,127
Nyankunde,2026-07-01,16
Nizi,2026-07-01,19
Lita,2026-07-01,11
Komanda,2026-07-01,5
Bambu,2026-07-01,5
Kilo,2026-07-01,1
Mangala,2026-07-01,12
Tchomia,2026-07-01,2
Damas,2026-07-01,0
Aungba,2026-07-01,2
Rimba,2026-07-01,0
Aru,2026-07-01,1
